Date,DD.Close
2020-01-02,26.56903839111328
2020-01-03,26.00836753845215
2020-01-06,25.824268341064453
2020-01-07,25.42677879333496
2020-01-08,25.73221778869629
2020-01-09,25.502092361450195
2020-01-10,24.983264923095703
2020-01-13,25.2719669342041
2020-01-14,25.175731658935547
2020-01-15,25.58159065246582
2020-01-16,25.815900802612305
2020-01-17,25.757322311401367
2020-01-21,25.84937286376953
2020-01-22,25.43096160888672
2020-01-23,25.330543518066406
2020-01-24,24.84937286376953
2020-01-27,24.01255226135254
2020-01-28,24.242677688598633
2020-01-29,24.13807487487793
2020-01-30,22.058576583862305
2020-01-31,21.414226531982422
2020-02-03,21.677824020385742
2020-02-04,22.050209045410156
2020-02-05,22.627614974975586
2020-02-06,22.514644622802734
2020-02-07,21.98744773864746
2020-02-10,21.665271759033203
2020-02-11,22.046024322509766
2020-02-12,22.40585708618164
2020-02-13,22.28870391845703
2020-02-14,22.217573165893555
2020-02-18,22.359832763671875
2020-02-19,22.384937286376953
2020-02-20,21.98744773864746
2020-02-21,21.937238693237305
2020-02-24,21.108787536621094
2020-02-25,19.86192512512207
2020-02-26,19.774059295654297
2020-02-27,18.85774040222168
2020-02-28,17.949790954589844
2020-03-02,18.807531356811523
2020-03-03,18.259414672851563
2020-03-04,18.476987838745117
2020-03-05,17.74895477294922
2020-03-06,16.945606231689453
2020-03-09,14.707113265991211
2020-03-10,15.949790954589844
2020-03-11,15.338912010192871
2020-03-12,13.924686431884766
2020-03-13,15.5230131149292
2020-03-16,14.330544471740723
2020-03-17,15.066946029663086
2020-03-18,13.414225578308105
2020-03-19,13.246862411499023
2020-03-20,13.167364120483398
2020-03-23,11.907950401306152
2020-03-24,13.581589698791504
2020-03-25,13.903765678405762
2020-03-26,15.041840553283691
2020-03-27,14.15481185913086
2020-03-30,14.066946029663086
2020-03-31,14.267782211303711
2020-04-01,13.606695175170898
2020-04-02,13.602510452270508
2020-04-03,13.334728240966797
2020-04-06,14.807531356811523
2020-04-07,15.589958190917969
2020-04-08,16.259414672851563
2020-04-09,17.062761306762695
2020-04-13,16.033472061157227
2020-04-14,16.079498291015625
2020-04-15,14.882844924926758
2020-04-16,15.15481185913086
2020-04-17,16.050209045410156
2020-04-20,16.619247436523438
2020-04-21,16.347280502319336
2020-04-22,16.682008743286133
2020-04-23,17.238494873046875
2020-04-24,17.531381607055664
2020-04-27,18.334728240966797
2020-04-28,19.41840934753418
2020-04-29,20.15481185913086
2020-04-30,19.67363929748535
2020-05-01,18.85774040222168
2020-05-04,18.71129608154297
2020-05-05,18.698745727539063
2020-05-06,18.42677879333496
2020-05-07,18.7280330657959
2020-05-08,19.635982513427734
2020-05-11,19.330543518066406
2020-05-12,19.11297035217285
2020-05-13,18.368200302124023
2020-05-14,18.933053970336914
2020-05-15,19.016735076904297
2020-05-18,20.12552261352539
2020-05-19,19.99163246154785
2020-05-20,20.44769859313965
2020-05-21,20.44769859313965
2020-05-22,20.372385025024414
2020-05-26,21.075313568115234
2020-05-27,20.694561004638672
2020-05-28,21.12970733642578
2020-05-29,21.225940704345703
2020-06-01,21.28870391845703
2020-06-02,22.02928924560547
2020-06-03,22.836820602416992
2020-06-04,23.00418472290039
2020-06-05,23.489540100097656
2020-06-08,23.86610984802246
2020-06-09,23.401674270629883
2020-06-10,22.460250854492188
2020-06-11,20.912134170532227
2020-06-12,21.343095779418945
2020-06-15,21.753137588500977
2020-06-16,22.230125427246094
2020-06-17,22.079498291015625
2020-06-18,22
2020-06-19,22.00836753845215
2020-06-22,22.1673641204834
2020-06-23,22.13807487487793
2020-06-24,21.56485366821289
2020-06-25,22.213388442993164
2020-06-26,21.514644622802734
2020-06-29,21.953975677490234
2020-06-30,22.230125427246094
2020-07-01,21.891212463378906
2020-07-02,22.476987838745117
2020-07-06,22.84937286376953
