Date,CPB.Close
2020-01-02,48.4900016784668
2020-01-03,48.43000030517578
2020-01-06,48.5099983215332
2020-01-07,48.189998626708984
2020-01-08,47.349998474121094
2020-01-09,47.619998931884766
2020-01-10,47.72999954223633
2020-01-13,47.720001220703125
2020-01-14,47.540000915527344
2020-01-15,47.779998779296875
2020-01-16,48.09000015258789
2020-01-17,48.02000045776367
2020-01-21,48.560001373291016
2020-01-22,48.56999969482422
2020-01-23,48.959999084472656
2020-01-24,48.790000915527344
2020-01-27,48.77000045776367
2020-01-28,48.880001068115234
2020-01-29,48.34000015258789
2020-01-30,49.029998779296875
2020-01-31,48.38999938964844
2020-02-03,48.869998931884766
2020-02-04,48.65999984741211
2020-02-05,49
2020-02-06,48.15999984741211
2020-02-07,48.880001068115234
2020-02-10,48.70000076293945
2020-02-11,48.72999954223633
2020-02-12,48.18000030517578
2020-02-13,48.36000061035156
2020-02-14,48.63999938964844
2020-02-18,48.20000076293945
2020-02-19,47.790000915527344
2020-02-20,47.7400016784668
2020-02-21,47.959999084472656
2020-02-24,48.02000045776367
2020-02-25,47.880001068115234
2020-02-26,46.63999938964844
2020-02-27,45.70000076293945
2020-02-28,45.119998931884766
2020-03-02,47.97999954223633
2020-03-03,47.880001068115234
2020-03-04,52.720001220703125
2020-03-05,53.099998474121094
2020-03-06,51.7599983215332
2020-03-09,50.20000076293945
2020-03-10,51.2599983215332
2020-03-11,50.470001220703125
2020-03-12,47.68000030517578
2020-03-13,49.279998779296875
2020-03-16,49.29999923706055
2020-03-17,53.84000015258789
2020-03-18,50.47999954223633
2020-03-19,47.5
2020-03-20,45.29999923706055
2020-03-23,42.93000030517578
2020-03-24,43.5
2020-03-25,41.40999984741211
2020-03-26,43.59000015258789
2020-03-27,44.189998626708984
2020-03-30,46.529998779296875
2020-03-31,46.15999984741211
2020-04-01,45.97999954223633
2020-04-02,47.45000076293945
2020-04-03,49.529998779296875
2020-04-06,47.61000061035156
2020-04-07,46.7400016784668
2020-04-08,46.15999984741211
2020-04-09,47.75
2020-04-13,48.5
2020-04-14,50.06999969482422
2020-04-15,50.5
2020-04-16,51.11000061035156
2020-04-17,50.34000015258789
2020-04-20,51.29999923706055
2020-04-21,50.439998626708984
2020-04-22,50.79999923706055
