Date,TMO.Close
2020-01-02,326.3699951171875
2020-01-03,322.82000732421875
2020-01-06,325.1400146484375
2020-01-07,326.9800109863281
2020-01-08,327.5
2020-01-09,329.6099853515625
2020-01-10,328.7300109863281
2020-01-13,332.0199890136719
2020-01-14,332.79998779296875
2020-01-15,335.20001220703125
2020-01-16,336.739990234375
2020-01-17,339.19000244140625
2020-01-21,337.260009765625
2020-01-22,340.04998779296875
2020-01-23,335.3800048828125
2020-01-24,333.67999267578125
2020-01-27,330.9599914550781
2020-01-28,333.260009765625
2020-01-29,333.8900146484375
2020-01-30,319.8599853515625
2020-01-31,313.19000244140625
2020-02-03,318.3399963378906
2020-02-04,325.9599914550781
2020-02-05,332.489990234375
2020-02-06,332
2020-02-07,326.2099914550781
2020-02-10,333.94000244140625
2020-02-11,337.7799987792969
2020-02-12,334.57000732421875
2020-02-13,335.5899963378906
2020-02-14,339.19000244140625
2020-02-18,337.3699951171875
2020-02-19,339.739990234375
2020-02-20,336.05999755859375
2020-02-21,334.94000244140625
2020-02-24,323.1499938964844
2020-02-25,309.6300048828125
2020-02-26,309.1600036621094
2020-02-27,297.0799865722656
2020-02-28,290.79998779296875
2020-03-02,304.9599914550781
2020-03-03,310.3599853515625
2020-03-04,326.6400146484375
2020-03-05,312.8900146484375
2020-03-06,311.1700134277344
2020-03-09,295.3500061035156
2020-03-10,307.70001220703125
2020-03-11,289.3800048828125
2020-03-12,284.32000732421875
2020-03-13,300.1199951171875
2020-03-16,279.3500061035156
2020-03-17,296.30999755859375
2020-03-18,302.9800109863281
2020-03-19,280.8399963378906
2020-03-20,278.3699951171875
2020-03-23,255.3000030517578
2020-03-24,282.0299987792969
2020-03-25,271.67999267578125
2020-03-26,283.1499938964844
2020-03-27,274.3399963378906
2020-03-30,284.9599914550781
2020-03-31,283.6000061035156
2020-04-01,275.20001220703125
2020-04-02,287.54998779296875
2020-04-03,282.2099914550781
2020-04-06,304
2020-04-07,296.5799865722656
2020-04-08,307.1499938964844
2020-04-09,317.3800048828125
2020-04-13,315.32000732421875
2020-04-14,326.3699951171875
2020-04-15,325.8299865722656
2020-04-16,328.8399963378906
2020-04-17,331.5799865722656
2020-04-20,327.1600036621094
2020-04-21,319.6199951171875
2020-04-22,335.5899963378906
2020-04-23,320.510009765625
2020-04-24,328.70001220703125
2020-04-27,342.7099914550781
2020-04-28,332.4599914550781
2020-04-29,335.6199951171875
2020-04-30,334.67999267578125
2020-05-01,329.80999755859375
2020-05-04,326.7200012207031
2020-05-05,336.32000732421875
2020-05-06,335.1499938964844
2020-05-07,339.0799865722656
2020-05-08,333.010009765625
2020-05-11,340.3900146484375
2020-05-12,331.7200012207031
2020-05-13,334.0899963378906
2020-05-14,337.2900085449219
2020-05-15,342.9200134277344
2020-05-18,346.9700012207031
2020-05-19,342.7799987792969
2020-05-20,341.1499938964844
2020-05-21,335.75
2020-05-22,340.260009765625
2020-05-26,332.57000732421875
2020-05-27,337.3500061035156
2020-05-28,342.739990234375
2020-05-29,349.19000244140625
2020-06-01,349.3299865722656
2020-06-02,350.0899963378906
2020-06-03,347.19000244140625
2020-06-04,348.1499938964844
2020-06-05,354.20001220703125
2020-06-08,349.8800048828125
2020-06-09,347.6499938964844
2020-06-10,352.79998779296875
2020-06-11,336.44000244140625
2020-06-12,339.760009765625
2020-06-15,340.82000732421875
2020-06-16,347.2200012207031
2020-06-17,349.8500061035156
2020-06-18,347.44000244140625
2020-06-19,352.7300109863281
2020-06-22,352.1600036621094
2020-06-23,356.82000732421875
2020-06-24,347.9599914550781
2020-06-25,351.760009765625
2020-06-26,350.95001220703125
2020-06-29,350.79998779296875
2020-06-30,362.3399963378906
2020-07-01,359.7699890136719
2020-07-02,365.8900146484375
2020-07-06,382.2699890136719
2020-07-07,380.25
2020-07-08,386.6300048828125
2020-07-09,387.6700134277344
2020-07-10,382.57000732421875
2020-07-13,378.92999267578125
2020-07-14,387.4599914550781
2020-07-15,392.70001220703125
2020-07-16,392.4200134277344
