Date,FDX.Close
2020-01-02,155.10000610351563
2020-01-03,153.17999267578125
2020-01-06,153.3000030517578
2020-01-07,154.8000030517578
2020-01-08,157.1300048828125
2020-01-09,158.0500030517578
2020-01-10,156.6300048828125
2020-01-13,159.27999877929688
2020-01-14,162.1300048828125
2020-01-15,159.14999389648438
2020-01-16,159.5399932861328
2020-01-17,159.97999572753906
2020-01-21,157.52999877929688
2020-01-22,155.5399932861328
2020-01-23,154.8800048828125
2020-01-24,154.07000732421875
2020-01-27,148.49000549316406
2020-01-28,148.39999389648438
2020-01-29,148.05999755859375
2020-01-30,148.25999450683594
2020-01-31,144.63999938964844
2020-02-03,143.83999633789063
2020-02-04,147.50999450683594
2020-02-05,149.9499969482422
2020-02-06,148.6300048828125
2020-02-07,155.66000366210938
2020-02-10,156.77999877929688
2020-02-11,158
2020-02-12,158.50999450683594
2020-02-13,161.47000122070313
2020-02-14,158.6199951171875
2020-02-18,158.57000732421875
2020-02-19,161.13999938964844
2020-02-20,164.91000366210938
2020-02-21,163.25
2020-02-24,154.85000610351563
2020-02-25,145.60000610351563
2020-02-26,144.52999877929688
2020-02-27,138.75999450683594
2020-02-28,141.1699981689453
2020-03-02,139.75
2020-03-03,133.08999633789063
2020-03-04,136.41000366210938
2020-03-05,129.92999267578125
2020-03-06,127.68000030517578
2020-03-09,115.69999694824219
2020-03-10,120.66999816894531
2020-03-11,111.01000213623047
2020-03-12,97
2020-03-13,106.62999725341797
2020-03-16,90.48999786376953
2020-03-17,94.95999908447266
2020-03-18,99.68000030517578
2020-03-19,111.68000030517578
2020-03-20,111.05999755859375
2020-03-23,111.76000213623047
2020-03-24,120.04000091552734
2020-03-25,118.30999755859375
2020-03-26,125.5999984741211
2020-03-27,120.58000183105469
2020-03-30,124.30999755859375
2020-03-31,121.26000213623047
2020-04-01,113.4800033569336
2020-04-02,116.63999938964844
2020-04-03,109.22000122070313
2020-04-06,119.0199966430664
2020-04-07,115.94999694824219
2020-04-08,125.54000091552734
2020-04-09,122.29000091552734
2020-04-13,123.52999877929688
2020-04-14,125.08000183105469
2020-04-15,119.9000015258789
2020-04-16,119.08000183105469
2020-04-17,124.8499984741211
2020-04-20,122.63999938964844
2020-04-21,120.4800033569336
2020-04-22,118.54000091552734
2020-04-23,120.87999725341797
2020-04-24,123.05999755859375
2020-04-27,127.29000091552734
2020-04-28,127.73999786376953
2020-04-29,129.47999572753906
2020-04-30,126.7699966430664
2020-05-01,118.19999694824219
2020-05-04,115.8499984741211
2020-05-05,117.66999816894531
2020-05-06,115.12000274658203
2020-05-07,116.73999786376953
2020-05-08,120.44000244140625
2020-05-11,117.55999755859375
2020-05-12,113.13999938964844
2020-05-13,109.33999633789063
2020-05-14,109.11000061035156
2020-05-15,107.5199966430664
2020-05-18,119.19000244140625
2020-05-19,114.79000091552734
2020-05-20,117.01000213623047
2020-05-21,115.7699966430664
2020-05-22,117
2020-05-26,124.80999755859375
2020-05-27,130.42999267578125
2020-05-28,131.14999389648438
2020-05-29,130.55999755859375
2020-06-01,129.7100067138672
2020-06-02,134.1999969482422
2020-06-03,138.0800018310547
2020-06-04,139.2100067138672
2020-06-05,142.2100067138672
2020-06-08,149.3800048828125
2020-06-09,144.69000244140625
2020-06-10,140.39999389648438
2020-06-11,128.80999755859375
2020-06-12,132.72000122070313
2020-06-15,133.67999267578125
2020-06-16,135.5399932861328
2020-06-17,135.66000366210938
2020-06-18,138.38999938964844
2020-06-19,137.6300048828125
2020-06-22,137.3800048828125
2020-06-23,139.07000732421875
2020-06-24,135.08999633789063
2020-06-25,136.11000061035156
2020-06-26,130.0800018310547
2020-06-29,134.5500030517578
2020-06-30,140.22000122070313
2020-07-01,156.66000366210938
2020-07-02,155.47999572753906
2020-07-06,156.27000427246094
2020-07-07,158.5399932861328
2020-07-08,158.55999755859375
2020-07-09,155.74000549316406
2020-07-10,158.58999633789063
2020-07-13,156.22999572753906
2020-07-14,158.5
2020-07-15,161.25
2020-07-16,166.10000610351563
2020-07-17,165.97999572753906
2020-07-20,164.1300048828125
2020-07-21,165.5
2020-07-22,165.13999938964844
2020-07-23,165.99000549316406
2020-07-24,165.0399932861328
2020-07-27,170.63999938964844
2020-07-28,166.92999267578125
2020-07-29,169.5500030517578
2020-07-30,172.7100067138672
2020-07-31,168.39999389648438
2020-08-03,169.22000122070313
2020-08-04,170.66000366210938
