Date,ROP.Close
2020-01-02,365.1700134277344
2020-01-03,363.0299987792969
2020-01-06,359.6099853515625
2020-01-07,361.44000244140625
2020-01-08,364.8699951171875
2020-01-09,370.1099853515625
2020-01-10,370.3500061035156
2020-01-13,374.0899963378906
2020-01-14,372.6000061035156
2020-01-15,373.5299987792969
2020-01-16,375.70001220703125
2020-01-17,379.739990234375
2020-01-21,378.260009765625
2020-01-22,375.6600036621094
2020-01-23,378.4599914550781
2020-01-24,376.8399963378906
2020-01-27,372.4800109863281
2020-01-28,377.8999938964844
2020-01-29,378.4599914550781
2020-01-30,389.3800048828125
2020-01-31,381.6600036621094
2020-02-03,379.7099914550781
2020-02-04,386.19000244140625
2020-02-05,385.75
2020-02-06,385.0400085449219
2020-02-07,385.44000244140625
2020-02-10,391.7799987792969
2020-02-11,389.7699890136719
2020-02-12,391.05999755859375
2020-02-13,388.3900146484375
2020-02-14,392.7300109863281
2020-02-18,389.3299865722656
2020-02-19,387.9700012207031
2020-02-20,384.010009765625
2020-02-21,387.25
2020-02-24,375.0199890136719
2020-02-25,365.9100036621094
2020-02-26,365
2020-02-27,355
2020-02-28,351.70001220703125
2020-03-02,361.0199890136719
2020-03-03,352.54998779296875
2020-03-04,366.9599914550781
2020-03-05,351.5400085449219
2020-03-06,350.3299865722656
2020-03-09,315.32000732421875
2020-03-10,341.54998779296875
2020-03-11,323.0899963378906
2020-03-12,290.94000244140625
2020-03-13,313.5199890136719
2020-03-16,283.260009765625
2020-03-17,309.3900146484375
2020-03-18,287.2699890136719
2020-03-19,300.010009765625
2020-03-20,283.1499938964844
2020-03-23,254.3000030517578
2020-03-24,282.8800048828125
2020-03-25,285.17999267578125
2020-03-26,306.32000732421875
2020-03-27,305.7900085449219
2020-03-30,317.4599914550781
2020-03-31,311.80999755859375
2020-04-01,293.6600036621094
2020-04-02,305.07000732421875
2020-04-03,299.67999267578125
2020-04-06,312.6199951171875
2020-04-07,308.1099853515625
2020-04-08,318.0799865722656
2020-04-09,315.45001220703125
