Date,GIS.Close
2020-01-02,52.130001068115234
2020-01-03,51.939998626708984
2020-01-06,52.59000015258789
2020-01-07,52.22999954223633
2020-01-08,52.97999954223633
2020-01-09,52.380001068115234
2020-01-10,52.25
2020-01-13,53.060001373291016
2020-01-14,53
2020-01-15,53.369998931884766
2020-01-16,53.720001220703125
2020-01-17,53.849998474121094
2020-01-21,54.34000015258789
2020-01-22,53.97999954223633
2020-01-23,54.2400016784668
2020-01-24,53.709999084472656
2020-01-27,53.220001220703125
2020-01-28,53.0099983215332
2020-01-29,53.029998779296875
2020-01-30,53.72999954223633
2020-01-31,52.220001220703125
2020-02-03,52.9900016784668
2020-02-04,52.54999923706055
2020-02-05,52.560001373291016
2020-02-06,51.709999084472656
2020-02-07,51.900001525878906
2020-02-10,52.36000061035156
2020-02-11,52.7599983215332
2020-02-12,52.93000030517578
2020-02-13,52.9900016784668
2020-02-14,53.310001373291016
2020-02-18,53.540000915527344
2020-02-19,53.2400016784668
2020-02-20,54.130001068115234
2020-02-21,53.91999816894531
2020-02-24,53.720001220703125
2020-02-25,52.529998779296875
2020-02-26,52.13999938964844
2020-02-27,50.13999938964844
2020-02-28,49
2020-03-02,51.40999984741211
2020-03-03,51.650001525878906
2020-03-04,54.16999816894531
2020-03-05,54.29999923706055
2020-03-06,54.77000045776367
2020-03-09,54.13999938964844
2020-03-10,54.09000015258789
2020-03-11,52.869998931884766
2020-03-12,50
2020-03-13,53.47999954223633
2020-03-16,53.380001068115234
2020-03-17,59.66999816894531
2020-03-18,57.75
2020-03-19,53.68000030517578
2020-03-20,53.369998931884766
2020-03-23,47.279998779296875
2020-03-24,48.22999954223633
2020-03-25,47.650001525878906
2020-03-26,50
2020-03-27,51.81999969482422
2020-03-30,54.099998474121094
2020-03-31,52.77000045776367
2020-04-01,53.119998931884766
2020-04-02,54.880001068115234
2020-04-03,56.709999084472656
2020-04-06,57.70000076293945
2020-04-07,56.439998626708984
2020-04-08,55.72999954223633
2020-04-09,57.400001525878906
2020-04-13,57.66999816894531
2020-04-14,58.849998474121094
2020-04-15,59.04999923706055
2020-04-16,60.689998626708984
2020-04-17,60.66999816894531
2020-04-20,60.7599983215332
2020-04-21,59.779998779296875
2020-04-22,60.189998626708984
2020-04-23,59.709999084472656
2020-04-24,60.47999954223633
2020-04-27,59.97999954223633
2020-04-28,60.959999084472656
2020-04-29,60.29999923706055
2020-04-30,59.88999938964844
2020-05-01,59.58000183105469
2020-05-04,59.72999954223633
2020-05-05,59.810001373291016
2020-05-06,58.970001220703125
2020-05-07,58.77000045776367
2020-05-08,59.7599983215332
2020-05-11,60.810001373291016
2020-05-12,62.5099983215332
2020-05-13,63.560001373291016
2020-05-14,62.209999084472656
2020-05-15,62.4900016784668
2020-05-18,61.58000183105469
2020-05-19,60.72999954223633
2020-05-20,60.93000030517578
2020-05-21,59.95000076293945
2020-05-22,59.959999084472656
2020-05-26,59.91999816894531
2020-05-27,60.81999969482422
2020-05-28,61.90999984741211
2020-05-29,63.040000915527344
2020-06-01,63.540000915527344
2020-06-02,63.41999816894531
2020-06-03,61.470001220703125
2020-06-04,60.7599983215332
2020-06-05,61
2020-06-08,62.13999938964844
2020-06-09,62.81999969482422
2020-06-10,62.779998779296875
2020-06-11,60.58000183105469
2020-06-12,60.150001525878906
2020-06-15,60.869998931884766
2020-06-16,61.790000915527344
2020-06-17,61.79999923706055
2020-06-18,61.7599983215332
2020-06-19,61.58000183105469
2020-06-22,61.52000045776367
2020-06-23,61
2020-06-24,60.290000915527344
2020-06-25,60.33000183105469
2020-06-26,59.209999084472656
2020-06-29,60.7400016784668
2020-06-30,61.650001525878906
2020-07-01,60.43000030517578
2020-07-02,61.47999954223633
2020-07-06,62.189998626708984
2020-07-07,62.97999954223633
2020-07-08,62.939998626708984
2020-07-09,62.54999923706055
2020-07-10,63.54999923706055
2020-07-13,63.560001373291016
2020-07-14,65.16999816894531
2020-07-15,64.5999984741211
2020-07-16,64.69000244140625
2020-07-17,64.63999938964844
2020-07-20,63.63999938964844
2020-07-21,64.5
2020-07-22,64.720001220703125
2020-07-23,64.98999786376953
2020-07-24,64.2300033569336
2020-07-27,64.08000183105469
2020-07-28,64.54000091552734
2020-07-29,64.37000274658203
2020-07-30,63.47999954223633
2020-07-31,63.27000045776367
2020-08-03,64.5999984741211
2020-08-04,65.73999786376953
2020-08-05,64.41999816894531
2020-08-06,64.18000030517578
2020-08-07,64.3499984741211
2020-08-10,63.75
2020-08-11,62.13999938964844
2020-08-12,63.060001373291016
2020-08-13,62.970001220703125
2020-08-14,63.27000045776367
2020-08-17,64.279998779296875
2020-08-18,64.62999725341797
2020-08-19,64.45999908447266
2020-08-20,64.20999908447266
2020-08-21,64.0199966430664
2020-08-24,64.12999725341797
2020-08-25,63.900001525878906
2020-08-26,64.25
2020-08-27,64.70999908447266
2020-08-28,63.38999938964844
2020-08-31,63.95000076293945
2020-09-01,63.119998931884766
2020-09-02,64.5
2020-09-03,62.970001220703125
2020-09-04,63.150001525878906
2020-09-08,59.52000045776367
2020-09-09,59.97999954223633
2020-09-10,58.4900016784668
2020-09-11,58.540000915527344
2020-09-14,58.7599983215332
2020-09-15,59.02000045776367
2020-09-16,58.75
2020-09-17,57.58000183105469
2020-09-18,57.31999969482422
2020-09-21,57.869998931884766
2020-09-22,57.9900016784668
2020-09-23,57.720001220703125
2020-09-24,58.70000076293945
2020-09-25,59.66999816894531
2020-09-28,59.900001525878906
2020-09-29,59.86000061035156
2020-09-30,61.68000030517578
2020-10-01,62.56999969482422
2020-10-02,62.52000045776367
2020-10-05,62.68000030517578
2020-10-06,61.22999954223633
2020-10-07,61.59000015258789
2020-10-08,61.38999938964844
2020-10-09,61.869998931884766
2020-10-12,62.349998474121094
2020-10-13,62.720001220703125
2020-10-14,62.09000015258789
2020-10-15,62.70000076293945
2020-10-16,62.369998931884766
2020-10-19,61.290000915527344
2020-10-20,61.119998931884766
2020-10-21,60.970001220703125
2020-10-22,61.310001373291016
2020-10-23,61.779998779296875
2020-10-26,60.97999954223633
2020-10-27,61.119998931884766
2020-10-28,59.52000045776367
2020-10-29,59.220001220703125
2020-10-30,59.119998931884766
2020-11-02,59.72999954223633
2020-11-03,60.88999938964844
2020-11-04,60.470001220703125
2020-11-05,60.560001373291016
2020-11-06,61.06999969482422
2020-11-09,58.36000061035156
2020-11-10,58.91999816894531
2020-11-11,59.88999938964844
2020-11-12,60.4900016784668
2020-11-13,60.970001220703125
2020-11-16,61.209999084472656
2020-11-17,61.279998779296875
2020-11-18,61.130001068115234
2020-11-19,62
2020-11-20,61.36000061035156
2020-11-23,61.02000045776367
2020-11-24,60.56999969482422
2020-11-25,60
2020-11-27,60.130001068115234
2020-11-30,60.81999969482422
2020-12-01,61.310001373291016
2020-12-02,60.220001220703125
2020-12-03,60.439998626708984
2020-12-04,60.439998626708984
2020-12-07,59.7400016784668
2020-12-08,60.400001525878906
2020-12-09,59.33000183105469
2020-12-10,58.869998931884766
2020-12-11,59.31999969482422
2020-12-14,59.349998474121094
2020-12-15,59.029998779296875
2020-12-16,58.91999816894531
2020-12-17,59.70000076293945
2020-12-18,59.400001525878906
2020-12-21,58.9900016784668
2020-12-22,58.599998474121094
2020-12-23,58.9900016784668
2020-12-24,59.130001068115234
2020-12-28,59.349998474121094
2020-12-29,59.150001525878906
2020-12-30,58.560001373291016
2020-12-31,58.79999923706055
2021-01-04,59.029998779296875
2021-01-05,59.09000015258789
2021-01-06,58.939998626708984
2021-01-07,57.95000076293945
2021-01-08,56.400001525878906
2021-01-11,55.56999969482422
2021-01-12,54.369998931884766
2021-01-13,55.38999938964844
2021-01-14,55.75
2021-01-15,56.2400016784668
2021-01-19,55.66999816894531
2021-01-20,55.34000015258789
2021-01-21,55.290000915527344
2021-01-22,55.970001220703125
2021-01-25,57.900001525878906
2021-01-26,59.130001068115234
2021-01-27,60.400001525878906
2021-01-28,59.36000061035156
2021-01-29,58.099998474121094
2021-02-01,57.54999923706055
2021-02-02,57.619998931884766
2021-02-03,56.81999969482422
2021-02-04,56.900001525878906
2021-02-05,57.400001525878906
2021-02-08,57.70000076293945
2021-02-09,57.66999816894531
2021-02-10,58.09000015258789
