Date,HON.Close
2020-01-02,170.39585876464844
2020-01-03,168.57681274414063
2020-01-06,167.30442810058594
2020-01-07,167.398681640625
2020-01-08,167.54005432128906
2020-01-09,168.7747344970703
2020-01-10,168.40716552734375
2020-01-13,170.84825134277344
2020-01-14,170.0753936767578
2020-01-15,170.3393096923828
2020-01-16,171.78134155273438
2020-01-17,172.69557189941406
2020-01-21,170.52780151367188
2020-01-22,169.69839477539063
2020-01-23,169.2554168701172
2020-01-24,166.94627380371094
2020-01-27,163.56268310546875
2020-01-28,165.37228393554688
2020-01-29,165.57022094726563
2020-01-30,168.0867156982422
2020-01-31,163.26107788085938
2020-02-03,161.47030639648438
2020-02-04,165.13665771484375
2020-02-05,166.72950744628906
2020-02-06,166.21112060546875
2020-02-07,165.20263671875
2020-02-10,166.77662658691406
2020-02-11,168.8501434326172
2020-02-12,170.763427734375
2020-02-13,169.76437377929688
2020-02-14,170.41470336914063
2020-02-18,169.1046142578125
2020-02-19,170.46182250976563
2020-02-20,170.31101989746094
2020-02-21,169.53817749023438
2020-02-24,165.19320678710938
2020-02-25,158.15267944335938
2020-02-26,157.56832885742188
2020-02-27,150.3769989013672
2020-02-28,152.84637451171875
2020-03-02,154.79736328125
2020-03-03,152.5824737548828
2020-03-04,161.3477783203125
2020-03-05,155.43826293945313
2020-03-06,154.5994415283203
2020-03-09,144.07162475585938
2020-03-10,152.3939666748047
2020-03-11,144.57115173339844
2020-03-12,127.09707641601563
2020-03-13,140.81997680664063
2020-03-16,127.49292755126953
2020-03-17,124.2224349975586
2020-03-18,112.73326873779297
2020-03-19,112.12064361572266
2020-03-20,106.03204345703125
2020-03-23,97.88878631591797
2020-03-24,112.63902282714844
2020-03-25,122.19603729248047
2020-03-26,129.50047302246094
2020-03-27,123.722900390625
2020-03-30,124.17530822753906
2020-03-31,126.0980224609375
2020-04-01,122.25259399414063
2020-04-02,125.17436218261719
2020-04-03,120.12252807617188
2020-04-06,126.29594421386719
2020-04-07,127.46465301513672
2020-04-08,131.24411010742188
2020-04-09,135.1837921142578
2020-04-13,130.00942993164063
2020-04-14,132.50706481933594
2020-04-15,127.08765411376953
2020-04-16,124.72196197509766
2020-04-17,130.36758422851563
2020-04-20,127.89820861816406
2020-04-21,124.41093444824219
2020-04-22,125.3817138671875
2020-04-23,126.93685150146484
2020-04-24,127.72856140136719
2020-04-27,131.837890625
2020-04-28,134.55230712890625
2020-04-29,137.7568359375
2020-04-30,133.74176025390625
2020-05-01,129.35910034179688
2020-05-04,127.42695617675781
2020-05-05,127.11592864990234
2020-05-06,125.39114379882813
2020-05-07,125.155517578125
2020-05-08,129.0386505126953
2020-05-11,126.55985260009766
2020-05-12,120.25447845458984
2020-05-13,115.90009307861328
2020-05-14,119.74552154541016
2020-05-15,118.19981384277344
2020-05-18,128.21865844726563
2020-05-19,124.36380767822266
2020-05-20,128.20924377441406
2020-05-21,129.7738037109375
2020-05-22,131.17813110351563
2020-05-26,136.6069793701172
2020-05-27,140.047119140625
2020-05-28,139.0763397216797
2020-05-29,137.46466064453125
2020-06-01,137.7756805419922
2020-06-02,139.8209228515625
2020-06-03,144.53346252441406
2020-06-04,146.94627380371094
2020-06-05,152.0923614501953
2020-06-08,153.55325317382813
2020-06-09,149.01036071777344
2020-06-10,145.25918579101563
2020-06-11,135.19320678710938
2020-06-12,136.20169067382813
2020-06-15,138.19981384277344
2020-06-16,140.5372314453125
2020-06-17,139.81149291992188
2020-06-18,139.70782470703125
2020-06-19,137.0122528076172
2020-06-22,136.6069793701172
2020-06-23,136.5315704345703
2020-06-24,130.39585876464844
2020-06-25,134.26956176757813
2020-06-26,130.26390075683594
2020-06-29,135.0047149658203
2020-06-30,136.277099609375
2020-07-01,135.82469177246094
2020-07-02,136.682373046875
2020-07-06,138.75588989257813
2020-07-07,136.63525390625
2020-07-08,137.2196044921875
2020-07-09,133.24221801757813
2020-07-10,134.2601318359375
2020-07-13,135.24034118652344
2020-07-14,139.58529663085938
2020-07-15,143.19509887695313
2020-07-16,144.2789764404297
2020-07-17,146.08859252929688
2020-07-20,144.57115173339844
2020-07-21,145.86239624023438
2020-07-22,145.7210235595703
2020-07-23,144.89161682128906
2020-07-24,140.83883666992188
2020-07-27,142.0923614501953
2020-07-28,143.27049255371094
2020-07-29,145.6927490234375
2020-07-30,140.5843505859375
2020-07-31,140.78228759765625
2020-08-03,139.99057006835938
2020-08-04,138.8595733642578
2020-08-05,142.14891052246094
2020-08-06,143.80772399902344
2020-08-07,146.19227600097656
2020-08-10,150.26390075683594
2020-08-11,151.06503295898438
2020-08-12,150.8671112060547
2020-08-13,149.8397674560547
2020-08-14,151.06503295898438
2020-08-17,149.63241577148438
2020-08-18,148.33175659179688
2020-08-19,147.8322296142578
2020-08-20,147.1913299560547
2020-08-21,148.4448699951172
2020-08-24,150.2073516845703
2020-08-25,155.07069396972656
2020-08-26,155.80584716796875
2020-08-27,156.44674682617188
2020-08-28,158.6993408203125
2020-08-31,156.03204345703125
2020-09-01,158.3129119873047
2020-09-02,162.55419921875
2020-09-03,156.73892211914063
2020-09-04,157.10650634765625
2020-09-08,154.8256378173828
2020-09-09,156.22055053710938
2020-09-10,154.8256378173828
2020-09-11,156.8802947998047
2020-09-14,158.78416442871094
2020-09-15,158.6239471435547
2020-09-16,160.2261962890625
2020-09-17,160.54666137695313
2020-09-18,159.00094604492188
2020-09-21,152.0923614501953
2020-09-22,153.32705688476563
2020-09-23,149.6606903076172
2020-09-24,149.63241577148438
2020-09-25,152.20545959472656
2020-09-28,155.1743621826172
2020-09-29,155.0518341064453
2020-09-30,155.14608764648438
2020-10-01,154.26956176757813
2020-10-02,156.08859252929688
2020-10-05,159.01979064941406
2020-10-06,157.2949981689453
2020-10-07,161.6870880126953
2020-10-08,163.78887939453125
2020-10-09,164.35438537597656
2020-10-12,165.27804565429688
2020-10-13,161.6870880126953
2020-10-14,163.4967041015625
2020-10-15,162.68614196777344
2020-10-16,164.80679321289063
2020-10-19,161.72479248046875
2020-10-20,163.2987823486328
2020-10-21,162.9311981201172
2020-10-22,166.682373046875
2020-10-23,165.44769287109375
2020-10-26,160.3864288330078
2020-10-27,157.16305541992188
2020-10-28,151.89443969726563
2020-10-29,155.13665771484375
2020-10-30,155.46653747558594
2020-11-02,163.62864685058594
2020-11-03,168.9066925048828
2020-11-04,168.6239471435547
2020-11-05,172.74269104003906
2020-11-06,173.67578125
2020-11-09,185.6644744873047
2020-11-10,190.36758422851563
2020-11-11,187.8322296142578
2020-11-12,185.9001007080078
2020-11-13,189.952880859375
2020-11-16,196.59754943847656
2020-11-17,193.5249786376953
2020-11-18,189.54759216308594
2020-11-19,191.06503295898438
2020-11-20,190.3864288330078
2020-11-23,192.81809997558594
2020-11-24,195.9377899169922
2020-11-25,195.7398681640625
2020-11-27,197.3704071044922
2020-11-30,192.196044921875
2020-12-01,194.34495544433594
2020-12-02,196.04147338867188
2020-12-03,196.2488250732422
2020-12-04,200.45240783691406
2020-12-07,198.96324157714844
2020-12-08,199.87747192382813
2020-12-09,200.03770446777344
2020-12-10,199.78321838378906
2020-12-11,202.29029846191406
2020-12-14,199.6701202392578
2020-12-15,201.8567352294922
2020-12-16,198.21865844726563
2020-12-17,199.75494384765625
2020-12-18,197.9641876220703
2020-12-21,198.5485382080078
2020-12-22,195.98492431640625
2020-12-23,197.91705322265625
2020-12-24,197.48350524902344
2020-12-28,197.86993408203125
2020-12-29,197.10650634765625
2020-12-30,198.82186889648438
2020-12-31,200.47125244140625
