Date,EQIX.Close
2020-01-02,579.3499755859375
2020-01-03,585.1199951171875
2020-01-06,584.47998046875
2020-01-07,581.8800048828125
2020-01-08,583.79998779296875
2020-01-09,588.989990234375
2020-01-10,594
2020-01-13,594.96002197265625
2020-01-14,586.5
2020-01-15,586.239990234375
2020-01-16,595.1199951171875
2020-01-17,588
2020-01-21,590
2020-01-22,591.530029296875
2020-01-23,596.010009765625
2020-01-24,591.96002197265625
2020-01-27,593.95001220703125
2020-01-28,602.57000732421875
2020-01-29,602.67999267578125
2020-01-30,603
2020-01-31,589.72998046875
2020-02-03,603.5999755859375
2020-02-04,607.8499755859375
2020-02-05,601.260009765625
2020-02-06,603.72998046875
2020-02-07,606
2020-02-10,612.030029296875
2020-02-11,613.57000732421875
2020-02-12,623.1400146484375
2020-02-13,635.75
2020-02-14,648.6500244140625
2020-02-18,643.59002685546875
2020-02-19,643.719970703125
2020-02-20,648.3900146484375
2020-02-21,655.989990234375
2020-02-24,644.9000244140625
2020-02-25,631.97998046875
2020-02-26,629.84002685546875
2020-02-27,597.489990234375
2020-02-28,572.79998779296875
2020-03-02,618.8800048828125
2020-03-03,615.15997314453125
2020-03-04,645.489990234375
2020-03-05,616.66998291015625
2020-03-06,608.66998291015625
2020-03-09,574.05999755859375
2020-03-10,610.280029296875
2020-03-11,598.79998779296875
2020-03-12,565.1300048828125
2020-03-13,621.09002685546875
2020-03-16,542.42999267578125
2020-03-17,575.17999267578125
2020-03-18,572.1400146484375
2020-03-19,550
2020-03-20,506.5199890136719
2020-03-23,489.1400146484375
2020-03-24,545.8900146484375
2020-03-25,553.91998291015625
2020-03-26,587.58001708984375
2020-03-27,594.27001953125
2020-03-30,644.8699951171875
2020-03-31,624.57000732421875
2020-04-01,595.46002197265625
2020-04-02,626.1500244140625
2020-04-03,624.69000244140625
2020-04-06,652.219970703125
2020-04-07,623.6199951171875
2020-04-08,664.260009765625
2020-04-09,686.94000244140625
2020-04-13,657.19000244140625
2020-04-14,688.8900146484375
2020-04-15,675.530029296875
2020-04-16,682.739990234375
2020-04-17,694.95001220703125
2020-04-20,670.75
2020-04-21,672.20001220703125
2020-04-22,684.78997802734375
2020-04-23,685.489990234375
2020-04-24,685.0999755859375
2020-04-27,702
2020-04-28,683.760009765625
2020-04-29,679.32000732421875
2020-04-30,675.20001220703125
2020-05-01,670.8499755859375
2020-05-04,675.969970703125
2020-05-05,686.3900146484375
2020-05-06,684.19000244140625
2020-05-07,675.34002685546875
2020-05-08,678.15997314453125
2020-05-11,678
2020-05-12,663.6500244140625
2020-05-13,678.79998779296875
2020-05-14,659.260009765625
2020-05-15,658.65997314453125
2020-05-18,662.3800048828125
2020-05-19,650.1300048828125
2020-05-20,655.47998046875
2020-05-21,644.4000244140625
2020-05-22,670.02001953125
2020-05-26,658.010009765625
2020-05-27,675.53997802734375
2020-05-28,693.3499755859375
2020-05-29,697.6300048828125
2020-06-01,710.16998291015625
2020-06-02,696.69000244140625
2020-06-03,688.989990234375
2020-06-04,665.17999267578125
2020-06-05,673.5
2020-06-08,676.239990234375
2020-06-09,691.219970703125
2020-06-10,695.530029296875
2020-06-11,660.70001220703125
2020-06-12,676.6400146484375
2020-06-15,694.530029296875
2020-06-16,697.20001220703125
2020-06-17,698
2020-06-18,696.510009765625
2020-06-19,711.42999267578125
2020-06-22,697.1400146484375
2020-06-23,694.69000244140625
2020-06-24,689.6300048828125
2020-06-25,696.84002685546875
2020-06-26,686.53997802734375
2020-06-29,688.91998291015625
2020-06-30,702.29998779296875
2020-07-01,728.16998291015625
2020-07-02,718.40997314453125
2020-07-06,722.66998291015625
2020-07-07,721.07000732421875
2020-07-08,720.3499755859375
2020-07-09,728.69000244140625
2020-07-10,716.59002685546875
2020-07-13,701.1199951171875
2020-07-14,716.90997314453125
2020-07-15,713.8800048828125
2020-07-16,714.09002685546875
2020-07-17,724.22998046875
2020-07-20,731.84002685546875
2020-07-21,725.97998046875
2020-07-22,735.52001953125
2020-07-23,736.69000244140625
2020-07-24,737.3900146484375
2020-07-27,754
2020-07-28,752.530029296875
2020-07-29,770
2020-07-30,777.95001220703125
2020-07-31,785.47998046875
2020-08-03,779.1199951171875
2020-08-04,793.42999267578125
2020-08-05,794.03997802734375
2020-08-06,792.05999755859375
2020-08-07,791.70001220703125
2020-08-10,782.739990234375
2020-08-11,758.16998291015625
2020-08-12,772.989990234375
2020-08-13,770.1199951171875
2020-08-14,762.010009765625
2020-08-17,772.08001708984375
