Date,KLAC.Close
2020-01-02,182.57000732421875
2020-01-03,179.0800018310547
2020-01-06,175.0500030517578
2020-01-07,176.44000244140625
2020-01-08,176.6699981689453
2020-01-09,175.49000549316406
2020-01-10,173.00999450683594
2020-01-13,175.10000610351563
2020-01-14,177.47999572753906
2020-01-15,177.9199981689453
2020-01-16,180.91000366210938
2020-01-17,178.72999572753906
2020-01-21,178.80999755859375
2020-01-22,180.1300048828125
2020-01-23,182.5500030517578
2020-01-24,179.39999389648438
2020-01-27,170.30999755859375
2020-01-28,175.92999267578125
2020-01-29,171.72000122070313
2020-01-30,172.9199981689453
2020-01-31,165.74000549316406
2020-02-03,169.92999267578125
2020-02-04,178.8000030517578
2020-02-05,171.27999877929688
2020-02-06,171.74000549316406
2020-02-07,165.10000610351563
2020-02-10,168.9199981689453
2020-02-11,173.0399932861328
2020-02-12,175.97000122070313
2020-02-13,178.72000122070313
2020-02-14,176.27999877929688
2020-02-18,169.22999572753906
2020-02-19,172.97999572753906
2020-02-20,167.3000030517578
2020-02-21,161.1199951171875
2020-02-24,153.72999572753906
2020-02-25,147.41000366210938
2020-02-26,147.27000427246094
2020-02-27,147.99000549316406
2020-02-28,153.7100067138672
2020-03-02,158.74000549316406
2020-03-03,153.80999755859375
2020-03-04,160.7100067138672
2020-03-05,156.69000244140625
2020-03-06,155.67999267578125
2020-03-09,144.9199981689453
2020-03-10,154.57000732421875
2020-03-11,144.9199981689453
2020-03-12,125.36000061035156
2020-03-13,145.3699951171875
2020-03-16,129.5
2020-03-17,149.6300048828125
2020-03-18,132.02000427246094
2020-03-19,127.36000061035156
2020-03-20,114.0199966430664
2020-03-23,116.36000061035156
2020-03-24,136.36000061035156
2020-03-25,137.47000122070313
2020-03-26,149.75999450683594
2020-03-27,142.24000549316406
2020-03-30,149.52000427246094
2020-03-31,143.74000549316406
2020-04-01,131.61000061035156
2020-04-02,132.44000244140625
2020-04-03,127.94000244140625
2020-04-06,148.5
2020-04-07,147.27000427246094
2020-04-08,152.3699951171875
2020-04-09,150.1199951171875
2020-04-13,152.08999633789063
2020-04-14,161.72999572753906
2020-04-15,153.22000122070313
2020-04-16,156.64999389648438
2020-04-17,161.2100067138672
2020-04-20,156.3000030517578
2020-04-21,148.58999633789063
2020-04-22,158.67999267578125
2020-04-23,159.4499969482422
2020-04-24,164.9199981689453
2020-04-27,166.05999755859375
2020-04-28,166.27000427246094
2020-04-29,175.88999938964844
2020-04-30,164.08999633789063
2020-05-01,150.27000427246094
2020-05-04,152
2020-05-05,155.6300048828125
2020-05-06,163.80999755859375
2020-05-07,163.83999633789063
2020-05-08,171.5
2020-05-11,168.77999877929688
2020-05-12,165.57000732421875
2020-05-13,164.07000732421875
2020-05-14,176.75
2020-05-15,167.42999267578125
2020-05-18,172.30999755859375
2020-05-19,172.52000427246094
2020-05-20,177.9199981689453
2020-05-21,172.42999267578125
2020-05-22,173
2020-05-26,176.63999938964844
2020-05-27,176.72999572753906
2020-05-28,174.61000061035156
2020-05-29,175.9600067138672
2020-06-01,175.9600067138672
2020-06-02,177.2899932861328
2020-06-03,186.0500030517578
2020-06-04,186.2899932861328
2020-06-05,192.47999572753906
2020-06-08,191.8699951171875
