Date,MCK.Close
2020-01-02,138.69000244140625
2020-01-03,136.72000122070313
2020-01-06,138.16000366210938
2020-01-07,137.85000610351563
2020-01-08,140.55999755859375
2020-01-09,141.3000030517578
2020-01-10,143.80999755859375
2020-01-13,143.64999389648438
2020-01-14,150.6699981689453
2020-01-15,154.02999877929688
2020-01-16,156.25999450683594
2020-01-17,156.3300018310547
2020-01-21,155.27000427246094
2020-01-22,155.74000549316406
2020-01-23,155.11000061035156
2020-01-24,152.6199951171875
2020-01-27,150.6300048828125
2020-01-28,152.1199951171875
2020-01-29,149.33999633789063
2020-01-30,147.1999969482422
2020-01-31,142.61000061035156
2020-02-03,143.89999389648438
2020-02-04,149.25
2020-02-05,152.14999389648438
2020-02-06,158.32000732421875
2020-02-07,156.32000732421875
2020-02-10,162.13999938964844
2020-02-11,164.64999389648438
2020-02-12,168.02000427246094
2020-02-13,167.91000366210938
2020-02-14,168.02999877929688
2020-02-18,167.6300048828125
2020-02-19,168.00999450683594
2020-02-20,170.77999877929688
2020-02-21,170.9600067138672
2020-02-24,165.55999755859375
2020-02-25,160.85000610351563
2020-02-26,158.97999572753906
2020-02-27,147.7100067138672
2020-02-28,139.86000061035156
2020-03-02,150.41000366210938
2020-03-03,147.8000030517578
2020-03-04,152.25999450683594
2020-03-05,145.1199951171875
2020-03-06,141.49000549316406
2020-03-09,131.97000122070313
2020-03-10,138
2020-03-11,135.1699981689453
2020-03-12,124.02999877929688
2020-03-13,132.57000732421875
2020-03-16,121.27999877929688
2020-03-17,139.47000122070313
2020-03-18,135.89999389648438
2020-03-19,127.4000015258789
2020-03-20,124.97000122070313
2020-03-23,115.75
2020-03-24,126.30999755859375
2020-03-25,121.23999786376953
2020-03-26,131.66000366210938
2020-03-27,125.69999694824219
2020-03-30,138.02000427246094
2020-03-31,135.25999450683594
2020-04-01,133.05999755859375
2020-04-02,129.1999969482422
2020-04-03,125.48999786376953
2020-04-06,135.1999969482422
2020-04-07,132.0800018310547
2020-04-08,131.55999755859375
2020-04-09,133.32000732421875
2020-04-13,131.02000427246094
2020-04-14,137.66000366210938
2020-04-15,137.97999572753906
2020-04-16,138.11000061035156
2020-04-17,141.61000061035156
2020-04-20,140.49000549316406
2020-04-21,132.44000244140625
2020-04-22,135.22000122070313
2020-04-23,136.57000732421875
2020-04-24,139.94000244140625
2020-04-27,143.27999877929688
2020-04-28,140.36000061035156
2020-04-29,140.25999450683594
2020-04-30,141.25
2020-05-01,134.6999969482422
2020-05-04,135.67999267578125
2020-05-05,133.5500030517578
2020-05-06,131.86000061035156
2020-05-07,134.5800018310547
2020-05-08,135.97000122070313
2020-05-11,140.25999450683594
2020-05-12,134.77000427246094
2020-05-13,129.6300048828125
2020-05-14,129.4199981689453
2020-05-15,136.4499969482422
2020-05-18,142.67999267578125
2020-05-19,144.6300048828125
2020-05-20,146.36000061035156
2020-05-21,145.82000732421875
2020-05-22,149.4199981689453
2020-05-26,149.19000244140625
2020-05-27,155.33999633789063
2020-05-28,156.86000061035156
2020-05-29,158.6699981689453
2020-06-01,158.94000244140625
2020-06-02,163.19000244140625
2020-06-03,161.72000122070313
2020-06-04,159.52000427246094
2020-06-05,161.6199951171875
2020-06-08,164.67999267578125
2020-06-09,161.19000244140625
2020-06-10,154.38999938964844
2020-06-11,146.55999755859375
2020-06-12,148.25
2020-06-15,151.72000122070313
2020-06-16,156.32000732421875
2020-06-17,154.4499969482422
2020-06-18,153.4199981689453
2020-06-19,156.6999969482422
2020-06-22,154.88999938964844
2020-06-23,153.6699981689453
2020-06-24,150.55999755859375
2020-06-25,151.2899932861328
2020-06-26,148.2100067138672
2020-06-29,151.77000427246094
2020-06-30,153.4199981689453
2020-07-01,150.91000366210938
2020-07-02,152.72999572753906
2020-07-06,151.50999450683594
2020-07-07,145.8000030517578
2020-07-08,144.57000732421875
2020-07-09,140.88999938964844
2020-07-10,143.02000427246094
2020-07-13,144.97999572753906
2020-07-14,147.83999633789063
2020-07-15,153.5
2020-07-16,153.3699951171875
2020-07-17,154.80999755859375
2020-07-20,153.5
2020-07-21,155.97999572753906
2020-07-22,156.25
2020-07-23,156.66000366210938
2020-07-24,155.33999633789063
2020-07-27,157.14999389648438
2020-07-28,153.88999938964844
2020-07-29,155.6999969482422
2020-07-30,153.61000061035156
2020-07-31,150.16000366210938
2020-08-03,159.89999389648438
2020-08-04,157.02000427246094
2020-08-05,153.6699981689453
2020-08-06,151.75
2020-08-07,152
2020-08-10,152.38999938964844
2020-08-11,151.30999755859375
2020-08-12,153
2020-08-13,152.19000244140625
2020-08-14,158.6699981689453
2020-08-17,155.7899932861328
2020-08-18,155.5399932861328
2020-08-19,153.33999633789063
2020-08-20,151.88999938964844
2020-08-21,150.97000122070313
2020-08-24,149.66000366210938
2020-08-25,152
2020-08-26,152.0800018310547
2020-08-27,154.25999450683594
2020-08-28,153.8699951171875
2020-08-31,153.44000244140625
2020-09-01,150.22000122070313
2020-09-02,156.25
2020-09-03,154.32000732421875
2020-09-04,152.42999267578125
2020-09-08,149.92999267578125
2020-09-09,152.30999755859375
2020-09-10,150.72999572753906
2020-09-11,150.3699951171875
2020-09-14,150.89999389648438
2020-09-15,150.8699951171875
2020-09-16,152.75
2020-09-17,151.5
2020-09-18,152.1300048828125
2020-09-21,148.22999572753906
2020-09-22,149.61000061035156
2020-09-23,147.08999633789063
2020-09-24,146.55999755859375
2020-09-25,148.50999450683594
2020-09-28,150.08999633789063
2020-09-29,146.55999755859375
2020-09-30,148.92999267578125
2020-10-01,146.9600067138672
2020-10-02,146.97999572753906
2020-10-05,149.17999267578125
2020-10-06,146.22999572753906
2020-10-07,148.1300048828125
2020-10-08,153.99000549316406
2020-10-09,151.2899932861328
2020-10-12,150.67999267578125
2020-10-13,151.63999938964844
2020-10-14,154.00999450683594
2020-10-15,156.5500030517578
2020-10-16,156.6699981689453
2020-10-19,152.4199981689453
2020-10-20,153.0399932861328
2020-10-21,152.6199951171875
2020-10-22,154.22999572753906
2020-10-23,156.41000366210938
2020-10-26,152.27000427246094
2020-10-27,149.2100067138672
2020-10-28,144.10000610351563
2020-10-29,143.7899932861328
2020-10-30,147.49000549316406
2020-11-02,152.02999877929688
2020-11-03,160.00999450683594
2020-11-04,166.0399932861328
2020-11-05,170.9499969482422
2020-11-06,170.9199981689453
2020-11-09,178.50999450683594
2020-11-10,183.44000244140625
2020-11-11,177.80999755859375
2020-11-12,177.94000244140625
2020-11-13,182.99000549316406
2020-11-16,183.66000366210938
2020-11-17,173.63999938964844
2020-11-18,176.52999877929688
2020-11-19,171.94000244140625
2020-11-20,169.8699951171875
2020-11-23,173.47999572753906
2020-11-24,179.75
2020-11-25,179.5
2020-11-27,180
2020-11-30,179.91000366210938
2020-12-01,179
2020-12-02,180.85000610351563
2020-12-03,179.16000366210938
2020-12-04,180.75999450683594
2020-12-07,178.25999450683594
2020-12-08,180.4199981689453
2020-12-09,178.67999267578125
2020-12-10,177.67999267578125
2020-12-11,174.66000366210938
2020-12-14,172.3300018310547
2020-12-15,173.0800018310547
2020-12-16,172.35000610351563
2020-12-17,172.91000366210938
2020-12-18,173.5500030517578
2020-12-21,171.4199981689453
2020-12-22,170.00999450683594
2020-12-23,170.07000732421875
2020-12-24,170.77999877929688
2020-12-28,174.32000732421875
2020-12-29,174.17999267578125
2020-12-30,173.4199981689453
2020-12-31,173.9199981689453
2021-01-04,174.42999267578125
2021-01-05,175.60000610351563
2021-01-06,178.92999267578125
2021-01-07,183.02000427246094
2021-01-08,183.5500030517578
2021-01-11,183.39999389648438
2021-01-12,183.27000427246094
2021-01-13,183.39999389648438
2021-01-14,182.82000732421875
2021-01-15,184.4199981689453
2021-01-19,182.47000122070313
2021-01-20,184.16000366210938
2021-01-21,182.7899932861328
2021-01-22,185.00999450683594
