Date,SYY.Close
2020-01-02,84.660003662109375
2020-01-03,84.3499984741211
2020-01-06,84.23999786376953
2020-01-07,83.55999755859375
2020-01-08,84.529998779296875
2020-01-09,84.62999725341797
2020-01-10,84.91999816894531
2020-01-13,83.720001220703125
2020-01-14,82.4000015258789
2020-01-15,82.6500015258789
2020-01-16,82.660003662109375
2020-01-17,82.81999969482422
2020-01-21,83.2300033569336
2020-01-22,83.13999938964844
2020-01-23,83.589996337890625
2020-01-24,82.62999725341797
2020-01-27,82.339996337890625
2020-01-28,82.66999816894531
2020-01-29,81.88999938964844
2020-01-30,82.839996337890625
2020-01-31,82.13999938964844
2020-02-03,76.68000030517578
2020-02-04,75.05999755859375
2020-02-05,75.69999694824219
2020-02-06,76.62000274658203
2020-02-07,77.36000061035156
2020-02-10,76.95999908447266
2020-02-11,76.2699966430664
2020-02-12,77.45999908447266
2020-02-13,77.94000244140625
2020-02-14,78.20999908447266
2020-02-18,76.83000183105469
2020-02-19,76.19999694824219
2020-02-20,76.70999908447266
2020-02-21,77.04000091552734
2020-02-24,75.54000091552734
2020-02-25,74.05000305175781
2020-02-26,72.87000274658203
2020-02-27,69.68000030517578
2020-02-28,66.6500015258789
2020-03-02,69.68000030517578
2020-03-03,68.5
2020-03-04,70.6500015258789
2020-03-05,67.6500015258789
2020-03-06,66.94999694824219
2020-03-09,61.25
2020-03-10,62.41999816894531
2020-03-11,55.150001525878906
2020-03-12,43.5099983215332
2020-03-13,47.06999969482422
2020-03-16,37.75
2020-03-17,35.060001373291016
2020-03-18,31.239999771118164
2020-03-19,37.11000061035156
2020-03-20,35.33000183105469
2020-03-23,36.27000045776367
2020-03-24,38.97999954223633
2020-03-25,45.650001525878906
2020-03-26,53.47999954223633
2020-03-27,50.45000076293945
2020-03-30,46.349998474121094
2020-03-31,45.630001068115234
2020-04-01,41.869998931884766
2020-04-02,41.290000915527344
2020-04-03,39.5
2020-04-06,45.0099983215332
2020-04-07,46.06999969482422
2020-04-08,47.25
2020-04-09,49.59000015258789
2020-04-13,47.04999923706055
2020-04-14,48.31999969482422
2020-04-15,46.099998474121094
2020-04-16,45.7400016784668
2020-04-17,50.310001373291016
2020-04-20,49.61000061035156
2020-04-21,49.099998474121094
2020-04-22,51.349998474121094
2020-04-23,49.75
2020-04-24,53.08000183105469
2020-04-27,54.91999816894531
2020-04-28,55.84000015258789
2020-04-29,58.599998474121094
2020-04-30,56.27000045776367
2020-05-01,52.7599983215332
2020-05-04,53.83000183105469
2020-05-05,50.540000915527344
2020-05-06,51.880001068115234
2020-05-07,52.279998779296875
2020-05-08,53.290000915527344
2020-05-11,51.70000076293945
2020-05-12,49.279998779296875
2020-05-13,46.689998626708984
2020-05-14,47.97999954223633
2020-05-15,47.619998931884766
2020-05-18,52.70000076293945
2020-05-19,51.380001068115234
2020-05-20,52.58000183105469
2020-05-21,52.47999954223633
2020-05-22,51.75
2020-05-26,55.11000061035156
2020-05-27,56.95000076293945
2020-05-28,55.95000076293945
2020-05-29,55.15999984741211
2020-06-01,57.18000030517578
2020-06-02,56.63999938964844
2020-06-03,59.099998474121094
2020-06-04,58.59000015258789
2020-06-05,61.59000015258789
2020-06-08,64.11000061035156
2020-06-09,61.38999938964844
2020-06-10,56.9900016784668
2020-06-11,53.369998931884766
2020-06-12,54.2599983215332
2020-06-15,54.880001068115234
2020-06-16,56.529998779296875
2020-06-17,54.47999954223633
2020-06-18,55.93000030517578
2020-06-19,54.2599983215332
2020-06-22,55
2020-06-23,58.279998779296875
2020-06-24,54.880001068115234
2020-06-25,55
2020-06-26,52.29999923706055
2020-06-29,54.41999816894531
2020-06-30,54.65999984741211
2020-07-01,53.70000076293945
2020-07-02,54.060001373291016
2020-07-06,53.7599983215332
2020-07-07,53.02000045776367
2020-07-08,53.11000061035156
2020-07-09,50.97999954223633
2020-07-10,52.310001373291016
2020-07-13,52.439998626708984
2020-07-14,52.959999084472656
2020-07-15,55.439998626708984
2020-07-16,54.619998931884766
2020-07-17,54.16999816894531
2020-07-20,53.029998779296875
2020-07-21,54.720001220703125
2020-07-22,55.34000015258789
2020-07-23,54.939998626708984
2020-07-24,54.939998626708984
2020-07-27,53.9900016784668
2020-07-28,53.5
2020-07-29,53.9900016784668
2020-07-30,53.59000015258789
2020-07-31,52.849998474121094
2020-08-03,52.130001068115234
2020-08-04,54.11000061035156
2020-08-05,54.9900016784668
2020-08-06,56.400001525878906
2020-08-07,57.79999923706055
2020-08-10,60.099998474121094
2020-08-11,60.84000015258789
2020-08-12,59.70000076293945
2020-08-13,58.599998474121094
2020-08-14,59.540000915527344
2020-08-17,59.70000076293945
2020-08-18,59.59000015258789
2020-08-19,58.08000183105469
2020-08-20,57.93000030517578
2020-08-21,57.459999084472656
2020-08-24,59.5099983215332
2020-08-25,58.20000076293945
2020-08-26,57.5
2020-08-27,60.029998779296875
2020-08-28,61.88999938964844
2020-08-31,60.13999938964844
2020-09-01,60.099998474121094
2020-09-02,60.84000015258789
2020-09-03,60.369998931884766
2020-09-04,60.13999938964844
2020-09-08,59.47999954223633
2020-09-09,61.41999816894531
2020-09-10,61.779998779296875
2020-09-11,62.29999923706055
2020-09-14,64.56999969482422
2020-09-15,65.4000015258789
2020-09-16,68.25
2020-09-17,68.4000015258789
2020-09-18,67.62999725341797
2020-09-21,64.05000305175781
2020-09-22,64.0199966430664
2020-09-23,60.52000045776367
2020-09-24,61.560001373291016
2020-09-25,62.0099983215332
2020-09-28,61.849998474121094
2020-09-29,61.16999816894531
2020-09-30,62.220001220703125
2020-10-01,62.619998931884766
