Date,LII.Close
2020-01-02,244.44000244140625
2020-01-03,243.49000549316406
2020-01-06,243.14999389648438
2020-01-07,239.94000244140625
2020-01-08,243.77000427246094
2020-01-09,247.30999755859375
2020-01-10,247.50999450683594
2020-01-13,245.6699981689453
2020-01-14,242.5500030517578
2020-01-15,244.10000610351563
2020-01-16,247.42999267578125
2020-01-17,243.6300048828125
2020-01-21,244.9499969482422
2020-01-22,247.2100067138672
2020-01-23,245.92999267578125
2020-01-24,240.97000122070313
2020-01-27,238.16000366210938
2020-01-28,240.13999938964844
2020-01-29,236.91000366210938
2020-01-30,236.02000427246094
2020-01-31,232.97999572753906
2020-02-03,233.7100067138672
2020-02-04,239.00999450683594
2020-02-05,242.5800018310547
2020-02-06,238.5800018310547
2020-02-07,235.38999938964844
2020-02-10,236.9499969482422
2020-02-11,237.5
2020-02-12,241.36000061035156
2020-02-13,241.63999938964844
2020-02-14,244.77999877929688
2020-02-18,246
2020-02-19,246
2020-02-20,248.7100067138672
2020-02-21,247.0399932861328
2020-02-24,247.22000122070313
2020-02-25,246.02999877929688
2020-02-26,243.63999938964844
2020-02-27,239.8300018310547
2020-02-28,228.1300048828125
2020-03-02,240.0800018310547
2020-03-03,245.00999450683594
2020-03-04,257.80999755859375
2020-03-05,255.77000427246094
2020-03-06,260.2099914550781
2020-03-09,251.05999755859375
2020-03-10,246.5
2020-03-11,229.11000061035156
2020-03-12,208.24000549316406
2020-03-13,211.82000732421875
2020-03-16,199
2020-03-17,194.55999755859375
2020-03-18,184.85000610351563
2020-03-19,195.7899932861328
2020-03-20,181.7899932861328
2020-03-23,166.8699951171875
2020-03-24,170.24000549316406
2020-03-25,180.42999267578125
2020-03-26,197.5399932861328
2020-03-27,185.3000030517578
2020-03-30,187.17999267578125
2020-03-31,181.7899932861328
2020-04-01,175.77999877929688
2020-04-02,176.92999267578125
2020-04-03,170.9600067138672
2020-04-06,178.4199981689453
2020-04-07,188.19000244140625
2020-04-08,195.67999267578125
2020-04-09,204.2899932861328
2020-04-13,196.74000549316406
2020-04-14,202.27999877929688
2020-04-15,191.77999877929688
2020-04-16,186.99000549316406
2020-04-17,183.8800048828125
2020-04-20,181
2020-04-21,172.9499969482422
2020-04-22,170.72000122070313
2020-04-23,177.5399932861328
2020-04-24,176.50999450683594
2020-04-27,184.64999389648438
