Date,STT.Close
2020-01-02,80.76000213623047
2020-01-03,79.56999969482422
2020-01-06,80.79000091552734
2020-01-07,81.910003662109375
2020-01-08,81.48999786376953
2020-01-09,82.91999816894531
2020-01-10,81.69000244140625
2020-01-13,82.08000183105469
2020-01-14,81.529998779296875
2020-01-15,81.20999908447266
2020-01-16,81.13999938964844
2020-01-17,82.55999755859375
2020-01-21,81.30999755859375
2020-01-22,80.54000091552734
2020-01-23,80.45999908447266
2020-01-24,78.339996337890625
2020-01-27,75.44999694824219
2020-01-28,76.5
2020-01-29,76.2300033569336
2020-01-30,77.61000061035156
2020-01-31,75.62999725341797
2020-02-03,76.089996337890625
2020-02-04,77.73999786376953
2020-02-05,80.04000091552734
2020-02-06,80.2699966430664
2020-02-07,79.13999938964844
2020-02-10,79.12999725341797
2020-02-11,79.779998779296875
2020-02-12,80.43000030517578
2020-02-13,78.8499984741211
2020-02-14,77.8499984741211
2020-02-18,76.87999725341797
2020-02-19,78.76000213623047
2020-02-20,77.88999938964844
2020-02-21,77.12999725341797
2020-02-24,74.01000213623047
2020-02-25,70.8499984741211
2020-02-26,70.13999938964844
2020-02-27,69.37999725341797
2020-02-28,68.11000061035156
2020-03-02,68.69000244140625
2020-03-03,65.8499984741211
2020-03-04,67
2020-03-05,62.400001525878906
2020-03-06,60.130001068115234
2020-03-09,52.65999984741211
2020-03-10,56.72999954223633
2020-03-11,54.189998626708984
2020-03-12,48.119998931884766
2020-03-13,58.86000061035156
2020-03-16,47.720001220703125
2020-03-17,49.93000030517578
2020-03-18,45.220001220703125
2020-03-19,46.630001068115234
2020-03-20,46.66999816894531
2020-03-23,43.209999084472656
2020-03-24,48.56999969482422
2020-03-25,49.380001068115234
2020-03-26,49.41999816894531
2020-03-27,48.65999984741211
2020-03-30,51.77000045776367
2020-03-31,53.27000045776367
2020-04-01,50.400001525878906
2020-04-02,52.41999816894531
2020-04-03,52.15999984741211
2020-04-06,55.54999923706055
2020-04-07,56.130001068115234
2020-04-08,58.560001373291016
2020-04-09,60.95000076293945
2020-04-13,59.439998626708984
2020-04-14,60.61000061035156
2020-04-15,57.06999969482422
2020-04-16,58.5
2020-04-17,58.4900016784668
2020-04-20,58.18000030517578
2020-04-21,55.9900016784668
2020-04-22,57.470001220703125
2020-04-23,57.04999923706055
2020-04-24,57.40999984741211
2020-04-27,61.290000915527344
2020-04-28,62.75
2020-04-29,64.45999908447266
2020-04-30,63.040000915527344
2020-05-01,59.08000183105469
2020-05-04,58.400001525878906
2020-05-05,58.08000183105469
2020-05-06,56.33000183105469
2020-05-07,58.2400016784668
2020-05-08,60.220001220703125
2020-05-11,58.7599983215332
2020-05-12,56.33000183105469
2020-05-13,53.27000045776367
2020-05-14,54.70000076293945
2020-05-15,54.40999984741211
2020-05-18,58.459999084472656
2020-05-19,56.7400016784668
2020-05-20,58.380001068115234
2020-05-21,58.09000015258789
2020-05-22,55.31999969482422
2020-05-26,60.52000045776367
2020-05-27,64.339996337890625
2020-05-28,62.459999084472656
2020-05-29,60.959999084472656
2020-06-01,62.349998474121094
2020-06-02,62.810001373291016
2020-06-03,65.9000015258789
2020-06-04,69.029998779296875
2020-06-05,70.69999694824219
2020-06-08,71.029998779296875
2020-06-09,70.4800033569336
2020-06-10,66.13999938964844
2020-06-11,61.130001068115234
2020-06-12,63.119998931884766
2020-06-15,62.650001525878906
2020-06-16,64.2699966430664
2020-06-17,63.209999084472656
2020-06-18,63.400001525878906
2020-06-19,65.4000015258789
2020-06-22,63.75
2020-06-23,64.69000244140625
2020-06-24,61.630001068115234
2020-06-25,64.160003662109375
2020-06-26,60.529998779296875
2020-06-29,61.560001373291016
2020-06-30,63.54999923706055
2020-07-01,62.130001068115234
2020-07-02,63.130001068115234
2020-07-06,64.4800033569336
2020-07-07,63.16999816894531
2020-07-08,64.94999694824219
2020-07-09,61.65999984741211
2020-07-10,64.12000274658203
2020-07-13,64.589996337890625
2020-07-14,64.98999786376953
2020-07-15,64.63999938964844
2020-07-16,64.5199966430664
2020-07-17,61.709999084472656
2020-07-20,60.36000061035156
2020-07-21,61.79999923706055
2020-07-22,61.400001525878906
2020-07-23,62.40999984741211
2020-07-24,62.349998474121094
2020-07-27,62.849998474121094
2020-07-28,63.09000015258789
2020-07-29,64.38999938964844
2020-07-30,63.5
2020-07-31,63.790000915527344
2020-08-03,64.31999969482422
2020-08-04,64.910003662109375
2020-08-05,66.73999786376953
2020-08-06,66.54000091552734
2020-08-07,69.56999969482422
2020-08-10,69.87000274658203
2020-08-11,70.3499984741211
2020-08-12,71.18000030517578
2020-08-13,70.3499984741211
2020-08-14,70.529998779296875
2020-08-17,69.20999908447266
2020-08-18,69.66999816894531
2020-08-19,70.44999694824219
2020-08-20,67.93000030517578
2020-08-21,67.55000305175781
2020-08-24,68.94000244140625
2020-08-25,69.06999969482422
2020-08-26,67.9800033569336
2020-08-27,69.25
2020-08-28,70.11000061035156
2020-08-31,68.089996337890625
2020-09-01,68.58000183105469
2020-09-02,69.87999725341797
2020-09-03,67.4000015258789
2020-09-04,68.3499984741211
2020-09-08,65.55000305175781
2020-09-09,65.79000091552734
2020-09-10,64.2300033569336
2020-09-11,64.910003662109375
2020-09-14,64.43000030517578
2020-09-15,63.20000076293945
2020-09-16,63.31999969482422
2020-09-17,62.369998931884766
2020-09-18,61.95000076293945
2020-09-21,59.91999816894531
2020-09-22,58.880001068115234
2020-09-23,57.77000045776367
2020-09-24,57.68000030517578
2020-09-25,58.5
2020-09-28,60.4900016784668
2020-09-29,59.88999938964844
2020-09-30,59.33000183105469
2020-10-01,58.75
2020-10-02,59.68000030517578
2020-10-05,61.38999938964844
2020-10-06,61.02000045776367
2020-10-07,63.40999984741211
2020-10-08,65
2020-10-09,66.43000030517578
2020-10-12,67.220001220703125
2020-10-13,66.089996337890625
2020-10-14,66.029998779296875
2020-10-15,66.94999694824219
2020-10-16,66.58000183105469
2020-10-19,64.3499984741211
2020-10-20,64.58000183105469
2020-10-21,64
2020-10-22,65.5999984741211
2020-10-23,65.30999755859375
2020-10-26,63.5099983215332
2020-10-27,61.650001525878906
2020-10-28,58.47999954223633
2020-10-29,58.79999923706055
2020-10-30,58.900001525878906
2020-11-02,59.68000030517578
2020-11-03,62.380001068115234
2020-11-04,60.41999816894531
2020-11-05,62.83000183105469
2020-11-06,62.22999954223633
2020-11-09,70.0999984741211
2020-11-10,70.05000305175781
2020-11-11,68.4800033569336
2020-11-12,66.9000015258789
2020-11-13,68.5199966430664
2020-11-16,69.80999755859375
2020-11-17,70.55999755859375
2020-11-18,69.18000030517578
2020-11-19,69.2699966430664
2020-11-20,67.94999694824219
2020-11-23,70.55999755859375
2020-11-24,73.41999816894531
2020-11-25,72.23999786376953
2020-11-27,71.589996337890625
2020-11-30,70.4800033569336
2020-12-01,72.26000213623047
2020-12-02,74.05999755859375
2020-12-03,73.87999725341797
2020-12-04,76.37999725341797
2020-12-07,75.95999908447266
2020-12-08,75.839996337890625
2020-12-09,72.76000213623047
2020-12-10,71.7300033569336
2020-12-11,72.80000305175781
2020-12-14,70.69999694824219
2020-12-15,71.79000091552734
2020-12-16,71.19999694824219
2020-12-17,70.73999786376953
2020-12-18,70.660003662109375
2020-12-21,70.339996337890625
2020-12-22,70.19000244140625
2020-12-23,71.58000183105469
2020-12-24,71.779998779296875
2020-12-28,72.12000274658203
2020-12-29,71.94000244140625
2020-12-30,72.41999816894531
2020-12-31,72.779998779296875
2021-01-04,72.25
2021-01-05,72.68000030517578
2021-01-06,77.62999725341797
2021-01-07,77.7300033569336
2021-01-08,77.12999725341797
2021-01-11,78.13999938964844
2021-01-12,80.41999816894531
2021-01-13,78.660003662109375
2021-01-14,79.58000183105469
2021-01-15,77.18000030517578
2021-01-19,78.4000015258789
2021-01-20,76.63999938964844
2021-01-21,74.58000183105469
2021-01-22,74.16999816894531
2021-01-25,72.55000305175781
2021-01-26,72.62999725341797
2021-01-27,70.13999938964844
2021-01-28,71.62999725341797
2021-01-29,70
2021-02-01,70.25
2021-02-02,70.80000305175781
2021-02-03,71.5999984741211
2021-02-04,73.79000091552734
2021-02-05,74.7699966430664
2021-02-08,76.06999969482422
2021-02-09,75.839996337890625
2021-02-10,74.089996337890625
2021-02-11,72.91999816894531
2021-02-12,73.5
2021-02-16,75.45999908447266
2021-02-17,75.160003662109375
2021-02-18,74.69999694824219
2021-02-19,71.93000030517578
2021-02-22,73.54000091552734
2021-02-23,74.05999755859375
2021-02-24,76.81999969482422
2021-02-25,74.26000213623047
2021-02-26,72.7699966430664
2021-03-01,76.73999786376953
2021-03-02,77.029998779296875
2021-03-03,79.30999755859375
2021-03-04,78.19999694824219
2021-03-05,79.41999816894531
2021-03-08,80.5
2021-03-09,81.839996337890625
2021-03-10,83.23999786376953
2021-03-11,83.58000183105469
2021-03-12,83.80000305175781
2021-03-15,83.66999816894531
2021-03-16,83.6500015258789
2021-03-17,84.76000213623047
2021-03-18,85.25
2021-03-19,84.160003662109375
2021-03-22,81.62000274658203
2021-03-23,79.37999725341797
2021-03-24,79.86000061035156
2021-03-25,82.37000274658203
2021-03-26,85.88999938964844
2021-03-29,85.33000183105469
2021-03-30,86.30999755859375
2021-03-31,84.01000213623047
2021-04-01,84.94999694824219
2021-04-05,85.4000015258789
2021-04-06,84.9800033569336
2021-04-07,84.73999786376953
2021-04-08,84.410003662109375
2021-04-09,86.470001220703125
2021-04-12,86.93000030517578
2021-04-13,85.75
2021-04-14,86.68000030517578
2021-04-15,86.51000213623047
2021-04-16,80.43000030517578
2021-04-19,80.88999938964844
2021-04-20,78.5999984741211
2021-04-21,80.13999938964844
2021-04-22,78.69999694824219
2021-04-23,81.11000061035156
2021-04-26,81.30000305175781
2021-04-27,82.23999786376953
2021-04-28,83.25
2021-04-29,83.4800033569336
2021-04-30,83.94999694824219
2021-05-03,84.68000030517578
2021-05-04,84.8499984741211
2021-05-05,86.20999908447266
2021-05-06,87.33000183105469
2021-05-07,87.2300033569336
2021-05-10,87.83000183105469
2021-05-11,86.0999984741211
2021-05-12,84.87000274658203
2021-05-13,85.70999908447266
2021-05-14,86.75
2021-05-17,86.37999725341797
2021-05-18,84.63999938964844
2021-05-19,84.089996337890625
2021-05-20,84.20999908447266
2021-05-21,86.25
2021-05-24,86.410003662109375
2021-05-25,85.36000061035156
2021-05-26,86.29000091552734
2021-05-27,86.98999786376953
2021-05-28,86.9800033569336
2021-06-01,87.9800033569336
2021-06-02,87.06999969482422
2021-06-03,87.089996337890625
2021-06-04,86.9000015258789
2021-06-07,86.410003662109375
2021-06-08,86.05999755859375
2021-06-09,84.56999969482422
2021-06-10,83.63999938964844
2021-06-11,83.73999786376953
2021-06-14,84.79000091552734
2021-06-15,85.79000091552734
2021-06-16,87.20999908447266
2021-06-17,82.779998779296875
2021-06-18,78.8499984741211
2021-06-21,81.61000061035156
2021-06-22,80.69000244140625
2021-06-23,80.9800033569336
2021-06-24,81.86000061035156
2021-06-25,83.2300033569336
2021-06-28,82.0999984741211
2021-06-29,82.19999694824219
2021-06-30,82.279998779296875
2021-07-01,83.81999969482422
2021-07-02,84.30000305175781
2021-07-06,81.9000015258789
2021-07-07,81.4000015258789
2021-07-08,79.589996337890625
2021-07-09,84.11000061035156
2021-07-12,84.31999969482422
2021-07-13,83.5999984741211
2021-07-14,82.470001220703125
2021-07-15,81.970001220703125
2021-07-16,84.339996337890625
2021-07-19,79.62999725341797
2021-07-20,82.80999755859375
2021-07-21,85.12999725341797
2021-07-22,84.88999938964844
2021-07-23,85.3499984741211
2021-07-26,86.160003662109375
2021-07-27,85.69999694824219
2021-07-28,86.23999786376953
2021-07-29,87.95999908447266
2021-07-30,87.13999938964844
2021-08-02,87.01000213623047
2021-08-03,88.0199966430664
2021-08-04,86.589996337890625
2021-08-05,87.48999786376953
2021-08-06,90
2021-08-09,90.56999969482422
2021-08-10,91.279998779296875
