Date,SPGI.Close
2020-01-02,277.8399963378906
2020-01-03,276.9100036621094
2020-01-06,279.0400085449219
2020-01-07,280.9800109863281
2020-01-08,285.010009765625
2020-01-09,289.5799865722656
2020-01-10,288.94000244140625
2020-01-13,294.239990234375
2020-01-14,290.1700134277344
2020-01-15,294.3800048828125
2020-01-16,298.19000244140625
2020-01-17,296.7900085449219
2020-01-21,296.20001220703125
2020-01-22,297.4200134277344
2020-01-23,297.19000244140625
2020-01-24,294.8299865722656
2020-01-27,293.1300048828125
2020-01-28,297.2799987792969
2020-01-29,297.30999755859375
2020-01-30,299.8599853515625
2020-01-31,293.7300109863281
2020-02-03,295.6700134277344
2020-02-04,297.9200134277344
2020-02-05,294.7699890136719
2020-02-06,295.5199890136719
2020-02-07,295.4800109863281
2020-02-10,296.55999755859375
2020-02-11,294.1199951171875
2020-02-12,303.8299865722656
2020-02-13,301.3500061035156
2020-02-14,307.6499938964844
2020-02-18,306.739990234375
2020-02-19,311.1600036621094
2020-02-20,303.4100036621094
2020-02-21,293.25
2020-02-24,290.8999938964844
2020-02-25,282.6300048828125
2020-02-26,282.7699890136719
2020-02-27,267.1499938964844
2020-02-28,265.9100036621094
2020-03-02,289.30999755859375
2020-03-03,280.1400146484375
2020-03-04,296.05999755859375
2020-03-05,278.4200134277344
2020-03-06,271.05999755859375
2020-03-09,242.50999450683594
2020-03-10,259.1700134277344
2020-03-11,240.36000061035156
2020-03-12,221.4600067138672
2020-03-13,248.10000610351563
2020-03-16,222.16000366210938
2020-03-17,227.66000366210938
2020-03-18,193.0800018310547
2020-03-19,207.77999877929688
2020-03-20,208.7899932861328
2020-03-23,192.0500030517578
2020-03-24,218.66000366210938
2020-03-25,227.19000244140625
2020-03-26,244.9499969482422
2020-03-27,239.75
2020-03-30,246.99000549316406
2020-03-31,245.0500030517578
2020-04-01,234.3300018310547
2020-04-02,241.33999633789063
2020-04-03,238.8000030517578
2020-04-06,255.8300018310547
2020-04-07,256.05999755859375
2020-04-08,261.510009765625
2020-04-09,283.54998779296875
2020-04-13,268.44000244140625
2020-04-14,277.3399963378906
2020-04-15,273.25
2020-04-16,274.54998779296875
2020-04-17,282.5899963378906
2020-04-20,279.1700134277344
2020-04-21,267.2300109863281
2020-04-22,276.010009765625
2020-04-23,279.55999755859375
2020-04-24,283.94000244140625
2020-04-27,291.19000244140625
2020-04-28,295.8299865722656
2020-04-29,294.4200134277344
2020-04-30,292.8800048828125
2020-05-01,286.05999755859375
2020-05-04,285.7699890136719
2020-05-05,295.4100036621094
2020-05-06,289.3599853515625
2020-05-07,295.5799865722656
2020-05-08,297.6499938964844
2020-05-11,300.67999267578125
2020-05-12,299.2099914550781
2020-05-13,294.3999938964844
2020-05-14,300.1199951171875
2020-05-15,303.1400146484375
2020-05-18,311.6300048828125
2020-05-19,311.0899963378906
2020-05-20,314
2020-05-21,310.760009765625
2020-05-22,311.8599853515625
2020-05-26,312.3399963378906
2020-05-27,315.42999267578125
2020-05-28,318.79998779296875
2020-05-29,325.0199890136719
2020-06-01,327.29998779296875
2020-06-02,327.3699951171875
2020-06-03,333.3800048828125
2020-06-04,327.3900146484375
2020-06-05,333.3699951171875
2020-06-08,331.9800109863281
2020-06-09,327.6099853515625
2020-06-10,331.17999267578125
2020-06-11,307.0299987792969
2020-06-12,316.9100036621094
2020-06-15,319.6499938964844
2020-06-16,324.92999267578125
2020-06-17,326.32000732421875
2020-06-18,326.80999755859375
2020-06-19,323.7300109863281
2020-06-22,326.3599853515625
2020-06-23,328.55999755859375
2020-06-24,317.9700012207031
2020-06-25,327.82000732421875
2020-06-26,321.6000061035156
2020-06-29,321.2900085449219
2020-06-30,329.4800109863281
2020-07-01,334.5199890136719
2020-07-02,333.25
2020-07-06,341.0199890136719
2020-07-07,341.19000244140625
2020-07-08,354.32000732421875
2020-07-09,352.7200012207031
2020-07-10,351.80999755859375
2020-07-13,346.0899963378906
2020-07-14,351.6400146484375
2020-07-15,354.79998779296875
2020-07-16,349.510009765625
2020-07-17,354.69000244140625
2020-07-20,358.0899963378906
2020-07-21,354.8299865722656
2020-07-22,356.45001220703125
2020-07-23,348.260009765625
2020-07-24,349.9700012207031
2020-07-27,351.32000732421875
2020-07-28,347.6000061035156
2020-07-29,359.8599853515625
2020-07-30,352.3699951171875
2020-07-31,350.25
2020-08-03,350.67999267578125
2020-08-04,345.7699890136719
2020-08-05,347.3900146484375
2020-08-06,352.57000732421875
2020-08-07,347.2699890136719
2020-08-10,344.07000732421875
2020-08-11,343.7099914550781
2020-08-12,349.19000244140625
2020-08-13,356.1300048828125
2020-08-14,352.2699890136719
2020-08-17,357.1400146484375
2020-08-18,360.1199951171875
2020-08-19,358.1099853515625
2020-08-20,361.2200012207031
2020-08-21,362.010009765625
2020-08-24,360
2020-08-25,358.5
2020-08-26,364.4100036621094
2020-08-27,363.9800109863281
2020-08-28,366.8299865722656
2020-08-31,366.4200134277344
2020-09-01,368.3900146484375
2020-09-02,378.4100036621094
2020-09-03,353.69000244140625
2020-09-04,345.17999267578125
2020-09-08,340.6600036621094
2020-09-09,351.7799987792969
2020-09-10,344.4800109863281
2020-09-11,348.7900085449219
2020-09-14,353.0899963378906
2020-09-15,357.20001220703125
2020-09-16,357.5400085449219
2020-09-17,351.7300109863281
2020-09-18,351.010009765625
2020-09-21,350.8900146484375
2020-09-22,350.1700134277344
2020-09-23,343.05999755859375
2020-09-24,345.8699951171875
2020-09-25,352.8500061035156
2020-09-28,355.54998779296875
2020-09-29,356.9800109863281
2020-09-30,360.6000061035156
2020-10-01,363.7300109863281
2020-10-02,362.9800109863281
2020-10-05,364.9700012207031
2020-10-06,354.30999755859375
2020-10-07,354.8999938964844
2020-10-08,357.20001220703125
2020-10-09,356.760009765625
2020-10-12,360.0899963378906
2020-10-13,354
2020-10-14,351.510009765625
2020-10-15,347.45001220703125
2020-10-16,348.1700134277344
2020-10-19,341.1499938964844
2020-10-20,340.1499938964844
2020-10-21,337.9100036621094
2020-10-22,337.25
2020-10-23,337.42999267578125
2020-10-26,333.54998779296875
2020-10-27,330.8500061035156
2020-10-28,326.70001220703125
2020-10-29,325.739990234375
2020-10-30,322.7300109863281
2020-11-02,327.9200134277344
2020-11-03,334.75
2020-11-04,351.1000061035156
2020-11-05,355.989990234375
2020-11-06,354.3599853515625
2020-11-09,346.4100036621094
2020-11-10,335.1000061035156
2020-11-11,343.9700012207031
2020-11-12,341.7200012207031
2020-11-13,341.9200134277344
2020-11-16,339.6199951171875
2020-11-17,336.6600036621094
2020-11-18,336.4800109863281
2020-11-19,338.6300048828125
2020-11-20,338.2799987792969
2020-11-23,337.1199951171875
2020-11-24,334.2099914550781
2020-11-25,338.0400085449219
2020-11-27,341.57000732421875
2020-11-30,351.7799987792969
2020-12-01,334.32000732421875
2020-12-02,333.2799987792969
2020-12-03,326.6099853515625
2020-12-04,339.45001220703125
2020-12-07,336.239990234375
