Date,BDX.Close
2020-01-02,209.03512573242188
2020-01-03,206.7725067138672
2020-01-06,209.6793975830078
2020-01-07,209.1808624267578
2020-01-08,209.69473266601563
2020-01-09,209.8021240234375
2020-01-10,210.50775146484375
2020-01-13,211.84230041503906
2020-01-14,211.65823364257813
2020-01-15,212.6859893798828
2020-01-16,212.35618591308594
2020-01-17,212.5172576904297
2020-01-21,212.86239624023438
2020-01-22,213.85948181152344
2020-01-23,213.7827911376953
2020-01-24,213.4146270751953
2020-01-27,214.56512451171875
2020-01-28,216.49026489257813
2020-01-29,216.44424438476563
2020-01-30,215.63890075683594
2020-01-31,211.0599822998047
2020-02-03,214.22764587402344
2020-02-04,218.1699676513672
2020-02-05,219.3511199951172
2020-02-06,193.47293090820313
2020-02-07,189.37721252441406
2020-02-10,193.2811737060547
2020-02-11,196.66360473632813
2020-02-12,193.45758056640625
2020-02-13,195.08360290527344
2020-02-14,199.58583068847656
2020-02-18,196.34913635253906
2020-02-19,196.40281677246094
2020-02-20,194.40098571777344
2020-02-21,197.3845672607422
2020-02-24,192.15370178222656
2020-02-25,188.2420654296875
2020-02-26,188.79429626464844
2020-02-27,186.14051818847656
2020-02-28,182.4052734375
2020-03-02,188.15769958496094
2020-03-03,183.69381713867188
2020-03-04,189.53060913085938
2020-03-05,187.2526397705078
2020-03-06,183.40235900878906
2020-03-09,177.00567626953125
2020-03-10,182.0141143798828
2020-03-11,177.87237548828125
2020-03-12,169.17471313476563
2020-03-13,181.39285278320313
2020-03-16,171.1458740234375
2020-03-17,190.612060546875
2020-03-18,180.02761840820313
2020-03-19,169.47384643554688
2020-03-20,168.82957458496094
2020-03-23,153.84262084960938
2020-03-24,155.58367919921875
2020-03-25,156.15892028808594
2020-03-26,168.23899841308594
2020-03-27,166.11444091796875
2020-03-30,170.9387969970703
2020-03-31,176.23101806640625
2020-04-01,172.8792724609375
2020-04-02,178.9231414794922
2020-04-03,173.8993682861328
2020-04-06,182.30557250976563
2020-04-07,182.1981964111328
2020-04-08,191.7471923828125
2020-04-09,189.7913818359375
2020-04-13,190.25924682617188
2020-04-14,191.38671875
2020-04-15,193.68768310546875
2020-04-16,200.65194702148438
2020-04-17,200.49087524414063
2020-04-20,202.05552673339844
2020-04-21,196.73263549804688
2020-04-22,204.6019287109375
2020-04-23,203.31338500976563
2020-04-24,205.68338012695313
2020-04-27,207.08697509765625
2020-04-28,200.88970947265625
2020-04-29,197.76806640625
2020-04-30,193.68768310546875
2020-05-01,193.1814727783203
2020-05-04,195.7892303466797
2020-05-05,200.72096252441406
2020-05-06,198.7498016357422
2020-05-07,196.54087829589844
2020-05-08,195.1833038330078
2020-05-11,200.98941040039063
2020-05-12,201.0200958251953
2020-05-13,200.88970947265625
2020-05-14,198.4199981689453
2020-05-15,198.07485961914063
2020-05-18,203.07562255859375
2020-05-19,201.8714599609375
2020-05-20,186.37060546875
2020-05-21,183.26429748535156
2020-05-22,183.5020751953125
2020-05-26,178.81576538085938
2020-05-27,180.08897399902344
2020-05-28,185.22779846191406
2020-05-29,189.39254760742188
2020-06-01,187.79721069335938
2020-06-02,187.5287628173828
2020-06-03,186.40895080566406
2020-06-04,186.8001251220703
2020-06-05,185.61895751953125
2020-06-08,189.63031005859375
2020-06-09,181.99110412597656
2020-06-10,181.88372802734375
2020-06-11,176.5531463623047
2020-06-12,177.08238220214844
2020-06-15,179.59042358398438
2020-06-16,181.36216735839844
2020-06-17,181.98342895507813
2020-06-18,181.18576049804688
2020-06-19,182.22886657714844
2020-06-22,180.38809204101563
2020-06-23,182.41294860839844
2020-06-24,178.5626678466797
2020-06-25,175.59442138671875
2020-06-26,179.14556884765625
2020-06-29,178.6853790283203
2020-06-30,183.5174102783203
2020-07-01,185.2508087158203
2020-07-02,187.93527221679688
2020-07-06,192.10768127441406
2020-07-07,192.80564880371094
2020-07-08,193.84107971191406
2020-07-09,198.35096740722656
2020-07-10,197.39990234375
2020-07-13,197.4305877685547
2020-07-14,202.0248565673828
2020-07-15,204.7553253173828
2020-07-16,203.29037475585938
2020-07-17,204.7706756591797
2020-07-20,205.43795776367188
2020-07-21,208.09173583984375
2020-07-22,209.7254180908203
2020-07-23,209.16551208496094
2020-07-24,208.53659057617188
2020-07-27,211.0599822998047
2020-07-28,209.387939453125
2020-07-29,211.99571228027344
2020-07-30,210.03221130371094
2020-07-31,215.78463745117188
2020-08-03,217.57937622070313
2020-08-04,216.95045471191406
2020-08-05,217.38763427734375
2020-08-06,199.1179656982422
2020-08-07,196.66360473632813
2020-08-10,196.92437744140625
2020-08-11,195.58213806152344
2020-08-12,197.2848663330078
2020-08-13,201.2041778564453
2020-08-14,198.0135040283203
2020-08-17,199.44776916503906
2020-08-18,202.37767028808594
2020-08-19,200.95106506347656
2020-08-20,198.59640502929688
2020-08-21,197.66835021972656
2020-08-24,195.54379272460938
2020-08-25,196.1880645751953
2020-08-26,194.79981994628906
2020-08-27,189.11642456054688
2020-08-28,186.22488403320313
2020-08-31,186.20187377929688
2020-09-01,184.72158813476563
2020-09-02,188.82496643066406
2020-09-03,180.28839111328125
2020-09-04,179.5367431640625
2020-09-08,179.52139282226563
2020-09-09,180.67955017089844
2020-09-10,179.61343383789063
2020-09-11,180.8406219482422
2020-09-14,180.9326629638672
2020-09-15,173.4545135498047
2020-09-16,174.1294708251953
2020-09-17,174.7200469970703
2020-09-18,177.8647003173828
2020-09-21,175.21092224121094
2020-09-22,171.652099609375
2020-09-23,173.02500915527344
2020-09-24,169.6272430419922
2020-09-25,171.86685180664063
2020-09-28,172.57247924804688
2020-09-29,172.90228271484375
2020-09-30,178.46295166015625
2020-10-01,177.0593719482422
2020-10-02,178.44761657714844
2020-10-05,182.6507110595703
2020-10-06,180.58750915527344
2020-10-07,180.77926635742188
2020-10-08,181.17042541503906
2020-10-09,182.0141143798828
2020-10-12,182.8194580078125
2020-10-13,181.55392456054688
2020-10-14,179.23760986328125
2020-10-15,180.25003051757813
2020-10-16,181.7686767578125
2020-10-19,182.0677947998047
2020-10-20,181.20877075195313
2020-10-21,181.31614685058594
2020-10-22,184.913330078125
2020-10-23,184.2920684814453
2020-10-26,185.61129760742188
2020-10-27,187.329345703125
2020-10-28,180.92498779296875
2020-10-29,178.3018798828125
2020-10-30,177.2741241455078
2020-11-02,180.081298828125
2020-11-03,182.32858276367188
2020-11-04,181.6152801513672
2020-11-05,179.9739227294922
2020-11-06,181.48489379882813
2020-11-09,184.31507873535156
2020-11-10,184.30740356445313
2020-11-11,186.50099182128906
2020-11-12,184.23837280273438
2020-11-13,186.2325439453125
2020-11-16,186.04847717285156
2020-11-17,185.92575073242188
2020-11-18,179.06887817382813
2020-11-19,178.63169860839844
2020-11-20,177.84169006347656
2020-11-23,175.24160766601563
2020-11-24,175.8628692626953
2020-11-25,174.46694946289063
2020-11-27,175.60975646972656
2020-11-30,180.11964416503906
2020-12-01,183.04188537597656
2020-12-02,185.51158142089844
2020-12-03,182.9344940185547
2020-12-04,186.19419860839844
2020-12-07,181.35450744628906
2020-12-08,184.26138305664063
2020-12-09,184.046630859375
2020-12-10,185.86439514160156
2020-12-11,186.14051818847656
2020-12-14,184.0773162841797
2020-12-15,187.24497985839844
2020-12-16,188.1346893310547
2020-12-17,190.7501220703125
2020-12-18,193.35020446777344
2020-12-21,190.10585021972656
2020-12-22,188.6025390625
2020-12-23,187.33702087402344
2020-12-24,190.20555114746094
2020-12-28,190.32827758789063
2020-12-29,190.48167419433594
2020-12-30,189.20079040527344
2020-12-31,191.9159393310547
2021-01-04,192.28408813476563
2021-01-05,192.53720092773438
2021-01-06,194.53904724121094
2021-01-07,194.43165588378906
2021-01-08,195.62815856933594
2021-01-11,197.2004852294922
2021-01-12,201.7794189453125
2021-01-13,201.72572326660156
2021-01-14,197.70669555664063
2021-01-15,200.75164794921875
2021-01-19,200.00767517089844
2021-01-20,201.94815063476563
2021-01-21,200.87437438964844
2021-01-22,198.45835876464844
2021-01-25,199.60116577148438
2021-01-26,198.15155029296875
2021-01-27,192.42982482910156
2021-01-28,196.5102081298828
2021-01-29,200.7899932861328
2021-02-01,200.46786499023438
2021-02-02,198.0671844482422
2021-02-03,200.13038635253906
2021-02-04,195.49777221679688
2021-02-05,195.33670043945313
2021-02-08,196.97805786132813
2021-02-09,194.94554138183594
2021-02-10,193.97146606445313
2021-02-11,194.3472900390625
2021-02-12,196.59457397460938
2021-02-16,197.37689208984375
2021-02-17,196.97805786132813
2021-02-18,196.21107482910156
2021-02-19,190.15953063964844
2021-02-22,188.694580078125
2021-02-23,189.98312377929688
2021-02-24,189.2238006591797
2021-02-25,189.561279296875
2021-02-26,184.9593505859375
2021-03-01,188.7252655029297
2021-03-02,187.70516967773438
2021-03-03,185.3505096435547
2021-03-04,184.75225830078125
2021-03-05,189.02438354492188
2021-03-08,188.75595092773438
2021-03-09,186.2632293701172
2021-03-10,182.45896911621094
2021-03-11,182.6967315673828
2021-03-12,182.7274169921875
2021-03-15,184.66021728515625
2021-03-16,183.73216247558594
2021-03-17,183.58644104003906
2021-03-18,183.46371459960938
2021-03-19,183.32566833496094
2021-03-22,185.31983947753906
2021-03-23,184.2767333984375
2021-03-24,185.43487548828125
2021-03-25,185.40420532226563
2021-03-26,188.00428771972656
2021-03-29,189.55361938476563
2021-03-30,188.0579833984375
2021-03-31,186.4933319091797
2021-04-01,185.28915405273438
2021-04-05,187.9812774658203
2021-04-06,187.6208038330078
2021-04-07,187.16061401367188
2021-04-08,186.278564453125
2021-04-09,190.15953063964844
2021-04-12,189.7606964111328
2021-04-13,192.28408813476563
2021-04-14,191.60914611816406
2021-04-15,197.76806640625
2021-04-16,200.1380615234375
2021-04-19,198.61941528320313
2021-04-20,196.68661499023438
2021-04-21,197.99049377441406
2021-04-22,197.21583557128906
2021-04-23,196.2340850830078
2021-04-26,197.46127319335938
2021-04-27,198.04417419433594
2021-04-28,197.5072784423828
2021-04-29,192.83631896972656
2021-04-30,190.83448791503906
2021-05-03,194.1402130126953
2021-05-04,192.91302490234375
2021-05-05,191.57078552246094
2021-05-06,184.69857788085938
2021-05-07,183.6094512939453
2021-05-10,189.16244506835938
2021-05-11,184.99769592285156
2021-05-12,185.33517456054688
2021-05-13,187.20663452148438
2021-05-14,185.90274047851563
2021-05-17,184.913330078125
2021-05-18,185.7493438720703
2021-05-19,186.10215759277344
2021-05-20,187.75119018554688
2021-05-21,187.513427734375
2021-05-24,186.93051147460938
2021-05-25,185.98712158203125
2021-05-26,185.6266326904297
2021-05-27,184.79827880859375
2021-05-28,185.52691650390625
2021-06-01,182.90382385253906
2021-06-02,183.06488037109375
2021-06-03,184.62954711914063
2021-06-04,184.58352661132813
2021-06-07,183.73983764648438
2021-06-08,183.5020751953125
2021-06-09,186.646728515625
