Date,MLM.Close
2020-01-02,276.6099853515625
2020-01-03,275.7900085449219
2020-01-06,276.6400146484375
2020-01-07,276.0199890136719
2020-01-08,276.9599914550781
2020-01-09,277.6099853515625
2020-01-10,276.8699951171875
2020-01-13,272.1499938964844
2020-01-14,260.75
2020-01-15,262.19000244140625
2020-01-16,263.010009765625
2020-01-17,266.739990234375
2020-01-21,267.760009765625
2020-01-22,265.2300109863281
2020-01-23,267.8699951171875
2020-01-24,263.8900146484375
2020-01-27,259.5400085449219
2020-01-28,265.54998779296875
2020-01-29,260.6499938964844
2020-01-30,266.70001220703125
2020-01-31,263.79998779296875
2020-02-03,272.3699951171875
2020-02-04,272.42999267578125
2020-02-05,277.20001220703125
2020-02-06,274.17999267578125
2020-02-07,274.1000061035156
2020-02-10,276.7900085449219
2020-02-11,262.760009765625
2020-02-12,260
2020-02-13,262.67999267578125
2020-02-14,263.4800109863281
2020-02-18,257.20001220703125
2020-02-19,258.6700134277344
2020-02-20,258.0799865722656
2020-02-21,251.4199981689453
2020-02-24,249.47999572753906
2020-02-25,239.1300048828125
2020-02-26,234.69000244140625
2020-02-27,230.97999572753906
2020-02-28,227.52999877929688
2020-03-02,236.89999389648438
2020-03-03,238.94000244140625
2020-03-04,252.75
2020-03-05,243.6199951171875
2020-03-06,238.75
2020-03-09,213.22000122070313
2020-03-10,217.3699951171875
2020-03-11,206.50999450683594
2020-03-12,185.72000122070313
2020-03-13,198.25
2020-03-16,171.38999938964844
2020-03-17,172.66000366210938
2020-03-18,149.82000732421875
2020-03-19,168.24000549316406
2020-03-20,153.6199951171875
2020-03-23,144.1199951171875
2020-03-24,160.4199981689453
2020-03-25,182.07000732421875
2020-03-26,194.9199981689453
2020-03-27,181.22000122070313
2020-03-30,179.52000427246094
2020-03-31,189.22999572753906
2020-04-01,186.1199951171875
2020-04-02,180.35000610351563
2020-04-03,169.50999450683594
2020-04-06,176.9600067138672
2020-04-07,185.4199981689453
2020-04-08,196.77000427246094
2020-04-09,208.19000244140625
2020-04-13,197.57000732421875
2020-04-14,203.19000244140625
2020-04-15,194.14999389648438
2020-04-16,187.44000244140625
2020-04-17,198.8699951171875
2020-04-20,188.63999938964844
2020-04-21,179.25
2020-04-22,177.0500030517578
2020-04-23,177.74000549316406
2020-04-24,177.35000610351563
2020-04-27,182.00999450683594
2020-04-28,189.1199951171875
2020-04-29,197.83999633789063
2020-04-30,190.22999572753906
2020-05-01,186.58999633789063
2020-05-04,190.64999389648438
2020-05-05,181.50999450683594
2020-05-06,174.49000549316406
2020-05-07,179.69000244140625
2020-05-08,176.58999633789063
2020-05-11,170.52999877929688
2020-05-12,169.44000244140625
2020-05-13,160.6300048828125
2020-05-14,169.00999450683594
2020-05-15,168.07000732421875
2020-05-18,180.8699951171875
2020-05-19,174.85000610351563
2020-05-20,179.10000610351563
2020-05-21,178.6300048828125
2020-05-22,179.69000244140625
